Coordinates,Intro Number,Enactment Date,Enactment Year,Enactment Number,Category,Borough,New Name,Present Name,Membership,Biographical Information,Limits,Zip Code,Introduced by Council Member(s),Notes,geometry,centroid,latitude,longitude
"MULTILINESTRING ((-73.97844709199995 40.737008693000064, -73.97769607299995 40.73808582700008))",Int. No. 471-A,12/21/2004,2004,2004/063,Street,Manhattan,V.A. Hospital Way,First Avenue,Group,"Manhattan's V.A. hospital, a 166-bed center affiliated with the New York University Medical Center and the home of all the administration's cardiac and neurosurgical care in the greater metropolitan region, is regarded by medical experts as a star in the",between East 23rd Street and East 25th Street,10010,Miller and  Lopez,,"MULTILINESTRING ((-73.97844709199995 40.737008693000064, -73.97769607299995 40.73808582700008))",POINT (-73.97807158249995 40.73754726000007),40.73754726000007,-73.97807158249995
"MULTILINESTRING ((-73.99809871499997 40.713145144000066, -73.99779294299998 40.712055408000026))",Int. No. 746-A,12/29/2005,2005,2005/131,Street,Manhattan,Mariners’ Temple Lane,Oliver Street,Group,"Mariners’ Temple Baptist Church is on the oldest site for continuous Baptist worship in New York City, and recently celebrated their 210th year on this historical site. Mariners’ Temple Baptist Church was the first church in New York City and the Uni",Between Madison Street and St. James Place,10038,Gerson,,"MULTILINESTRING ((-73.99809871499997 40.713145144000066, -73.99779294299998 40.712055408000026))",POINT (-73.99794582899997 40.712600276000046),40.712600276000046,-73.99794582899997
"MULTILINESTRING ((-73.77654315199999 40.72207939100008, -73.77571032599997 40.72272175300003, -73.77560571999999 40.722900637000066, -73.77540187199997 40.72291893200003))",Int. No. 988,07/29/2018,2018,2018/139,Street,Queens,Ahmadiyya Way,85th Road,Group,"The Ahmadiyya Muslim Community is the world’s largest Islamic community under one divinely appointed leader, His Holiness the Khalifa of Islam, Mirza Masroor Ahmad. The AMC spans over 200 nations with membership exceeding tens of millions. The Ahmadiyy",After the Grand Central Parkway Entrance to 188-48 85th Road,11423,Grodenchik,,"MULTILINESTRING ((-73.77654315199999 40.72207939100008, -73.77571032599997 40.72272175300003, -73.77560571999999 40.722900637000066, -73.77540187199997 40.72291893200003))",POINT (-73.77597327126453 40.722529911818285),40.722529911818285,-73.77597327126453
"MULTILINESTRING ((-73.96190066599996 40.810491324000054, -73.95931501699994 40.80939506200008))",Int. No. 1188-A,12/17/2013,2013,2013/131,Street,Manhattan,Teachers College Way,120th Street,Group,"This co-naming will commemorate Teachers College, the oldest and largest graduate school of education in the United States.  For over 100 years, Teachers College has been a leader in the field of education and is ranked among the nation’s best.",Between Broadway and Amsterdam Avenue,10027,Dickens,,"MULTILINESTRING ((-73.96190066599996 40.810491324000054, -73.95931501699994 40.80939506200008))",POINT (-73.96060784149995 40.809943193000066),40.809943193000066,-73.96060784149995
"MULTILINESTRING ((-73.87341104699993 40.83688709100005, -73.87224031499994 40.83669032000006, -73.87115066599995 40.83654675400004, -73.86973810699999 40.83626927500006, -73.86908040099996 40.83609318900005, -73.86837499199999 40.83591973000006, -73.86716560199994 40.83556267600005, -73.86595167399997 40.83519530900003, -73.86511126999994 40.83496201000003, -73.86427615399998 40.83470927900004, -73.86349836099998 40.83447389500003, -73.86271610399996 40.83424634100004, -73.86238197099993 40.83413283100003, -73.86211658699995 40.83399755600004, -73.86180159699995 40.83381714800004, -73.86142073999997 40.83350972000005, -73.86131312799995 40.83354434100005, -73.86103404599999 40.833634129000075, -73.86072494699994 40.833616117000076, -73.86046065999994 40.83348825200005, -73.86035315199996 40.83336179500003, -73.85996881399996 40.83333939800008, -73.85907422699995 40.83338205200005, -73.85902658799995 40.833146820000024, -73.85896873299998 40.83306463900004, -73.85886825799997 40.83304646300007, -73.85870839299997 40.832945134000056, -73.85853014799994 40.832912889000056, -73.85832797699999 40.83282899100004, -73.85799567699996 40.83274727500003, -73.85767807699995 40.832644551000044, -73.85734195399993 40.832561895000026, -73.85676212999994 40.832350932000054, -73.85598825699998 40.83213609300003, -73.85570421599994 40.83205346400007, -73.85503787699997 40.83187505500007, -73.85432480299994 40.83165130800006, -73.85360925199996 40.83144402700003, -73.85211426799998 40.830974928000046, -73.85138195299999 40.83077162200004, -73.85064020499993 40.830531705000055, -73.84972181699999 40.830265662000045, -73.84918524399995 40.83008337000007, -73.84858003299996 40.82990730600005, -73.84792566399994 40.82969564800004, -73.84736550299993 40.829557892000025))",Int. No. 270,01/11/2018,2018,2018/035,Street,Bronx,East 177th Street,Cross Bronx Service Road North,Misc,Int. No. 270 permanently changes the name of the Cross Bronx Service Road North between Bronx River Parkway and Hugh Grant Circle and between Westchester Avenue and Zerega Avenue to East 177th Street and the Cross Bronx Service Road South between Bronx R,Between Bronx River Parkway and Hugh Grant Circle and between Westchester Avenue and Zerega Avenue,10462,Palma and Cohen,,"MULTILINESTRING ((-73.87341104699993 40.83688709100005, -73.87224031499994 40.83669032000006, -73.87115066599995 40.83654675400004, -73.86973810699999 40.83626927500006, -73.86908040099996 40.83609318900005, -73.86837499199999 40.83591973000006, -73.86716560199994 40.83556267600005, -73.86595167399997 40.83519530900003, -73.86511126999994 40.83496201000003, -73.86427615399998 40.83470927900004, -73.86349836099998 40.83447389500003, -73.86271610399996 40.83424634100004, -73.86238197099993 40.83413283100003, -73.86211658699995 40.83399755600004, -73.86180159699995 40.83381714800004, -73.86142073999997 40.83350972000005, -73.86131312799995 40.83354434100005, -73.86103404599999 40.833634129000075, -73.86072494699994 40.833616117000076, -73.86046065999994 40.83348825200005, -73.86035315199996 40.83336179500003, -73.85996881399996 40.83333939800008, -73.85907422699995 40.83338205200005, -73.85902658799995 40.833146820000024, -73.85896873299998 40.83306463900004, -73.85886825799997 40.83304646300007, -73.85870839299997 40.832945134000056, -73.85853014799994 40.832912889000056, -73.85832797699999 40.83282899100004, -73.85799567699996 40.83274727500003, -73.85767807699995 40.832644551000044, -73.85734195399993 40.832561895000026, -73.85676212999994 40.832350932000054, -73.85598825699998 40.83213609300003, -73.85570421599994 40.83205346400007, -73.85503787699997 40.83187505500007, -73.85432480299994 40.83165130800006, -73.85360925199996 40.83144402700003, -73.85211426799998 40.830974928000046, -73.85138195299999 40.83077162200004, -73.85064020499993 40.830531705000055, -73.84972181699999 40.830265662000045, -73.84918524399995 40.83008337000007, -73.84858003299996 40.82990730600005, -73.84792566399994 40.82969564800004, -73.84736550299993 40.829557892000025))",POINT (-73.86033365489506 40.833434769027235),40.833434769027235,-73.86033365489506
"MULTILINESTRING ((-73.82970510699994 40.743219606000025, -73.82988749699996 40.742179134000025))",Int. No. 876,12/04/2001,2001,2001/060,Street,Queens,Veterans of Foreign Wars Place,136th Street,Group,"This street renaming was requested by Veterans of Foreign Wars Post 3427 and the Cedar Grove Civic Homeowners Association, Inc.  It is intended to serve as a tribute to the many veterans, men and women, who gave of themselves to protect freedom and the A",Between the Horace Harding Expressway eastbound service road and 61st Road,11355,"Povman, Marshall and Nelson, Dear, DiBrienza,  Koslowitz, Leffler, O’Donovan and Sabini",,"MULTILINESTRING ((-73.82970510699994 40.743219606000025, -73.82988749699996 40.742179134000025))",POINT (-73.82979630199995 40.742699370000025),40.742699370000025,-73.82979630199995
"MULTILINESTRING ((-73.83087325199995 40.65179527300006, -73.82765191899995 40.652273484000034))",Int. No. 1033,07/17/2009,2009,2009/046,Street,Queens,164th Avenue,McKee Avenue,Misc,"This section of the bill would rename what is now called “McKee Avenue,” in Queens, “as 164th Avenue” and amend the official map of the City of New York accordingly.",Between 104th Street and Hawtree Basin,11414,Ulrich,,"MULTILINESTRING ((-73.83087325199995 40.65179527300006, -73.82765191899995 40.652273484000034))",POINT (-73.82926258549995 40.65203437850005),40.65203437850005,-73.82926258549995
"MULTILINESTRING ((-73.87303619399995 40.75078760000008, -73.87234954799999 40.75100907900003))",Int. No. 1103-A,12/28/2009,2009,2009/092,Street,Queens,Mitad del Mundo,Elmhurst Avenue,Group,This co-naming will represent the sizable number of individuals of Ecuadorian decent who live in the 21st Council District and the City of New York.  It is estimated that 40.6% of the population are Ecuadorian decent.,Between 94th Street and 95th Street,11372,Ferreras,,"MULTILINESTRING ((-73.87303619399995 40.75078760000008, -73.87234954799999 40.75100907900003))",POINT (-73.87269287099997 40.750898339500054),40.750898339500054,-73.87269287099997
"MULTILINESTRING ((-73.93706505999995 40.66554507500007, -73.93968766399996 40.66568071000006))",Int. No. 1102-A,07/23/2023,2023,2023/110,Street,Brooklyn,Tomchei Temimim Way,Crown Street,Group,"Located at 570 Crown St, the United Lubavitcher Yeshiva, also known as Tomchei Temimim, occupies most of Albany Avenue and is recognizable as the ""red brick building with tinted windows"" in the center of Crown Heights. Established in 1897 in Russia by Ra",Between Troy Avenue and Albany Avenue,11213,Hudson,,"MULTILINESTRING ((-73.93706505999995 40.66554507500007, -73.93968766399996 40.66568071000006))",POINT (-73.93837636199996 40.665612892500064),40.665612892500064,-73.93837636199996
"MULTILINESTRING ((-74.00046911699997 40.67771295700004, -74.00176849899998 40.67807910400006, -74.00194433199994 40.67800677900004))",Int. No. 620,02/05/2015,2015,2015/015,Street,Brooklyn,Lydia Buffington Way,Luquer Street,Misc,"Lydia Buffington was the annual organizer of the highly successful Court Street Fair, an annual tradition which continues today.  Each year, the Court Street Fair attracts tens of thousands of people to the area to enjoy and support the local commercial",Between Clinton Street and Hamilton Avenue,11231,Lander,,"MULTILINESTRING ((-74.00046911699997 40.67771295700004, -74.00176849899998 40.67807910400006, -74.00194433199994 40.67800677900004))",POINT (-74.0012098656394 40.677914166661715),40.677914166661715,-74.0012098656394
"MULTILINESTRING ((-73.95421829799994 40.58296094800005, -73.95399513799998 40.581885380000074))",Int. No. 613,05/09/2005,2005,2005/043,Street,Brooklyn,World War II Heroes Way,Shore Boulevard,Group,"This renaming is on behalf of the numerous veterans of World War II residing in Brooklyn and the Greater New York Metropolitan Area, and as a sign of respect and deep gratitude for their heroic deeds as well as sacrifices of million of other heroes.  Thi",Between Neptune Avenue and Cass Place,11235,Nelson,,"MULTILINESTRING ((-73.95421829799994 40.58296094800005, -73.95399513799998 40.581885380000074))",POINT (-73.95410671799996 40.58242316400006),40.58242316400006,-73.95410671799996
"MULTILINESTRING ((-73.93338507199996 40.68965248200004, -73.93325632599993 40.68903827500003))",Int. No. 849,08/10/2015,2015,2015/076,Street,Brooklyn,Do The Right Thing Way,Stuyvesant Avenue,Group,"Do The Right Thing is a film directed by Spike Lee which takes place in Bedford-Stuyvesant, Brooklyn.  The film was a critical and commercial success and received an Academy Award nomination for Spike Lee for Best Original Screenplay and one for Best Sup",Between Quincy Avenue and Lexington Avenue,11221,Cornegy,,"MULTILINESTRING ((-73.93338507199996 40.68965248200004, -73.93325632599993 40.68903827500003))",POINT (-73.93332069899995 40.689345378500036),40.689345378500036,-73.93332069899995
"MULTILINESTRING ((-74.00614541799996 40.678520554000045, -74.00991767599999 40.67529190400006, -74.01143166699995 40.67630933300006, -74.01295527499997 40.67733320900004, -74.01412337999994 40.67817556400007, -74.01476108699995 40.67762976300003, -74.01539356299998 40.67708843500003, -74.01692554399995 40.67811792600003))",Int. No. 556-A,06/14/2007,2007,2007/028,Street,Brooklyn,Red Hook Lane: Heritage Trail,,Group,"These streets in Red Hook closely follow an old Indian trail called Red Hook Lane, used by George Washington and his Continental Army during the Revolutionary War, in particular the Battle of Brooklyn, for troop and supply movements at the time of the fa",At the intersections of Dwight and Delavan Streets to Coffey and Ferris Streets,11231,Gonzalez,,"MULTILINESTRING ((-74.00614541799996 40.678520554000045, -74.00991767599999 40.67529190400006, -74.01143166699995 40.67630933300006, -74.01295527499997 40.67733320900004, -74.01412337999994 40.67817556400007, -74.01476108699995 40.67762976300003, -74.01539356299998 40.67708843500003, -74.01692554399995 40.67811792600003))",POINT (-74.01146545458418 40.677020239563426),40.677020239563426,-74.01146545458418
"MULTILINESTRING ((-73.74947512199998 40.76974673600006, -73.74761366899997 40.769901118000064))",Int. No. 565,10/20/2003,2003,2003/062,Street,Queens,Willow Street,40th Avenue,Misc,"Sometime in the 1920’s streets throughout the area of Douglaston, Queens and Little Neck, Queens were given numerical designations in order to come “in line” with the New York City street grid.  In 1970-1971, a movement to re-instate the named stre",between Douglaston Parkway and Circle Road,11363,Avella,,"MULTILINESTRING ((-73.74947512199998 40.76974673600006, -73.74761366899997 40.769901118000064))",POINT (-73.74854439549998 40.76982392700006),40.76982392700006,-73.74854439549998
"MULTILINESTRING ((-73.92070661999998 40.74690072100003, -73.91995202499999 40.746811311000044))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Queens,ST. PAT’S FOR ALL WAY,Skillman Avenue,Group,"This location was chosen because the stage for the annual parade is erected at the intersection of 43rd Street and Skillman Avenue. The 25th edition of the parade will be held on March 3, 2024.  The St. Pat’s for All Parade celebrates the diversity of",Between 43rd Street and 44th Street,11104,Won,,"MULTILINESTRING ((-73.92070661999998 40.74690072100003, -73.91995202499999 40.746811311000044))",POINT (-73.92032932249998 40.74685601600004),40.74685601600004,-73.92032932249998
"MULTILINESTRING ((-73.99040094299994 40.74599525200006, -73.98883721499999 40.74534295400008))",Int. No. 2477,01/15/2022,2022,2022/054,Street,Manhattan,TIN PAN ALLEY,West 28th Street,Group,"Between 1893 and 1910, this section of West 28th Street between Sixth Avenue and Broadway became known as Tin Pan Alley, often cited as the birthplace of American popular music for making sheet music available to countless American households. Here, comp",Between Sixth Avenue and Broadway,10001,Johnson,,"MULTILINESTRING ((-73.99040094299994 40.74599525200006, -73.98883721499999 40.74534295400008))",POINT (-73.98961907899997 40.74566910300007),40.74566910300007,-73.98961907899997
"MULTILINESTRING ((-73.96389518599995 40.716308378000065, -73.96443699199995 40.71580013200003))",Int. No. 1045-A,07/01/2013,2013,2013/050,Street,Brooklyn,BARC Avenue,Wythe Avenue,Group,This co-naming will commemorate 25 years of service to Williamsburg animals and their owners.  The Brooklyn Animal Resource Coalition (BARC) is a no kill animal shelter whose mission is to provide a safe haven for homeless animals and help them find a pe,Between Grand Street and N. 1st Street,11249,Levin,,"MULTILINESTRING ((-73.96389518599995 40.716308378000065, -73.96443699199995 40.71580013200003))",POINT (-73.96416608899995 40.716054255000046),40.716054255000046,-73.96416608899995
"MULTILINESTRING ((-73.75058513799996 40.77186491200007, -73.74843668799997 40.772340230000054, -73.74716205199996 40.77262222600007, -73.74696967899996 40.772664785000075, -73.74669325199994 40.77270991900008, -73.74648403999998 40.77272413800006, -73.74569547099998 40.77274648100007))",Int. No. 565,10/20/2003,2003,2003/062,Street,Queens,Hillside Avenue,38th Road,Misc,"Sometime in the 1920’s streets throughout the area of Douglaston, Queens and Little Neck, Queens were given numerical designations in order to come “in line” with the New York City street grid.  In 1970-1971, a movement to re-instate the named stre",Between Douglaston Parkway and Douglas Road,11363,Avella,,"MULTILINESTRING ((-73.75058513799996 40.77186491200007, -73.74843668799997 40.772340230000054, -73.74716205199996 40.77262222600007, -73.74696967899996 40.772664785000075, -73.74669325199994 40.77270991900008, -73.74648403999998 40.77272413800006, -73.74569547099998 40.77274648100007))",POINT (-73.7481502431787 40.77238214146303),40.77238214146303,-73.7481502431787
"MULTILINESTRING ((-73.94967428099994 40.678621220000025, -73.94952944199997 40.68032172900007))",Int. No. 1188-A,12/17/2013,2013,2013/131,Street,Brooklyn,Birdel’s Records Way,Nostrand Avenue,Group,"This co-naming will commemorate Birdel’s Records, a record store that was open for more than a half century until recently.  Birdel’s Records opened in 1944 in Bedford-Stuyvesant.  Through the years, the store drew such R&B legends as James Brown, Al",Between Atlantic Avenue and Fulton Street,11216,Vann,,"MULTILINESTRING ((-73.94967428099994 40.678621220000025, -73.94952944199997 40.68032172900007))",POINT (-73.94960186149996 40.679471474500055),40.679471474500055,-73.94960186149996
"MULTILINESTRING ((-73.92929055199994 40.74239894100003, -73.92894186499996 40.74411949800003))",Int. No. 968,07/20/2024,2024,2024/081,Street,Queens,Aviation High School Boulevard,36th Street,Group,"This co-naming will commemorate Aviation High School, which originally began in Manhattan in 1936 and moved to Long Island City in 1957. The school houses an entire city block with a hangar where students work on aircrafts.",Between 47th Avenue and Queens Boulevard,11104,Won,,"MULTILINESTRING ((-73.92929055199994 40.74239894100003, -73.92894186499996 40.74411949800003))",POINT (-73.92911620849995 40.74325921950003),40.74325921950003,-73.92911620849995
"MULTILINESTRING ((-73.81664314099999 40.82314855900006, -73.81612755999998 40.82186531800005))",Int. No. 342-A,02/18/2003,2003,2003/014,Street,Bronx,Throgs Neck Expressway,Hollywood Avenue,Group,"For over 40 years the owners of 485 and 489 Throgs Neck Expressway have believed that this was their legal address.  The street sign on the corner of their block read Throgs Neck Expressway throughout the years.  When the street sign fell, and the Depart",Between Dewey Avenue and the Cross Bronx Expressway,10465,Provenzano,,"MULTILINESTRING ((-73.81664314099999 40.82314855900006, -73.81612755999998 40.82186531800005))",POINT (-73.81638535049998 40.822506938500055),40.822506938500055,-73.81638535049998
"MULTILINESTRING ((-73.76227066899997 40.69168179900004, -73.76117394299996 40.69198233900005))",Int. No. 1102-A,07/23/2023,2023,2023/110,Street,Queens,A Tribe Called Quest Boulevard,Linden Boulevard,Group,"A Tribe Called Quest was an American hip-hop act formed in Queens, New York in 1985 consisting of rappers Q-Tip, Phife Dawg, DJ and co-producer Ali Shaheed Muhammad and rapper Jarobi White. They were one of the most progressive and crucial rap groups of",Between Farmers Boulevard and 190th Street,11412,Williams,,"MULTILINESTRING ((-73.76227066899997 40.69168179900004, -73.76117394299996 40.69198233900005))",POINT (-73.76172230599997 40.69183206900004),40.69183206900004,-73.76172230599997
"MULTILINESTRING ((-73.94427465899997 40.829619507000075, -73.94228177799994 40.82876101800008))",Int. No. 289-A,05/23/2006,2006,2006/013,Street,Manhattan,Dance Theatre of Harlem Way,West 152nd Street,Group,"Dance Theatre of Harlem has and continues to serve thousands of people each year through its School, Education and Community Outreach programs and Professional Dance Company. Since its inception in 1969, DTH has grown from 2 professional dancers and 30 c",Between Amsterdam and St. Nicholas Avenues,10031,Jackson,,"MULTILINESTRING ((-73.94427465899997 40.829619507000075, -73.94228177799994 40.82876101800008))",POINT (-73.94327821849996 40.82919026250008),40.82919026250008,-73.94327821849996
"MULTILINESTRING ((-73.85710630299997 40.81778513900008, -73.85427925399995 40.81816675400006))",Int. No. 1054,02/25/2016,2016,2016/023,Street,Bronx,Kips Bay Blvd.,1930 Randall Avenue,Group,"This co-naming will commemorate the 100th Anniversary of the Kips Bay Boys and Girls Club.  The Kips Bay Boys and Girls Club was established on February 8, 1915 and serves the youth as a safe haven and provides programs during after school hours.",Between White Plains Road and Pugsley Avenue,10473,Palma,,"MULTILINESTRING ((-73.85710630299997 40.81778513900008, -73.85427925399995 40.81816675400006))",POINT (-73.85569277849996 40.81797594650007),40.81797594650007,-73.85569277849996
"MULTILINESTRING ((-73.88816628299998 40.854737198000066, -73.88759407899994 40.85445046800004))",Int. No. 2187,01/17/2021,2021,2021/014,Street,Bronx,Cosenza Way,186th Street,Group,Cosenza’s fish market is on a very short list of family-owned businesses that have lasted for a century. The business celebrated its 100th year in business in January 2018.,Between Arthur Avenue and Hughes Avenue,10458,Torres,,"MULTILINESTRING ((-73.88816628299998 40.854737198000066, -73.88759407899994 40.85445046800004))",POINT (-73.88788018099996 40.85459383300005),40.85459383300005,-73.88788018099996
"MULTILINESTRING ((-73.84938102099994 40.68322215400008, -73.84869008399994 40.681819501000064))",Int. No. 746-A,12/29/2005,2005,2005/131,Street,Queens,Nativity B.V.M. Way,91st Street,Group,"This street name change is to honor Nativity of the B.V.M. Roman Catholic Church, which is celebrating its 100th anniversary.",Between Rockaway Boulevard and 101st Avenue,11416,Addabbo,,"MULTILINESTRING ((-73.84938102099994 40.68322215400008, -73.84869008399994 40.681819501000064))",POINT (-73.84903555249994 40.68252082750007),40.68252082750007,-73.84903555249994
"MULTILINESTRING ((-73.90024609599999 40.73141115200008, -73.90051282699994 40.73141905600005, -73.90063792199999 40.73142276300007, -73.90071995299996 40.731373889000054, -73.90074826499995 40.73136711400008, -73.90097631199995 40.73137387200006, -73.90103138699999 40.731369373000064))",Int. No. 1449-A,03/18/2017,2017,2017/045,Street,Queens,Easter Rising Way,Step Street,Group,"This co-naming will commemorate the 100th Anniversary of the Easter Rising against Britain’s rule over Ireland.  On April 24, 1916, the Irish Republican Brotherhood, a secret organization of Irish nationalists, launched an armed uprising against Britis",Between 65th Place and 64th Street,10456,Crowley,,"MULTILINESTRING ((-73.90024609599999 40.73141115200008, -73.90051282699994 40.73141905600005, -73.90063792199999 40.73142276300007, -73.90071995299996 40.731373889000054, -73.90074826499995 40.73136711400008, -73.90097631199995 40.73137387200006, -73.90103138699999 40.731369373000064))",POINT (-73.90063958228309 40.73139666085277),40.73139666085277,-73.90063958228309
"MULTILINESTRING ((-73.93127496999995 40.757309648000046, -73.93063481699994 40.75700353500008))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Queens,Little Sylhet,36th Avenue,Group,"This co-naming will commemorate the Bangladeshi community from the Sylhet region of Bangladesh, and recognize the contributions that have been made and they continue to make in the future.",Between 29th Street and 30th Street,11106,Won,,"MULTILINESTRING ((-73.93127496999995 40.757309648000046, -73.93063481699994 40.75700353500008))",POINT (-73.93095489349994 40.75715659150006),40.75715659150006,-73.93095489349994
"MULTILINESTRING ((-73.90362533599995 40.66811446400004, -73.90623244299996 40.667736055000034))",Int. No. 2477,01/15/2022,2022,2022/054,Street,Brooklyn,Boxing Row,Sutter Avenue,Group,"Brownsville Brooklyn N.Y. has been the birthplace of some of the most iconic and talented boxers including, Mike Tyson, Riddick Bowe, Shannon Briggs, Zab Judah, Danny Jacobs, Bruce “Shu Shu” Carrington, Eddie Mustafa Muhammad, Decosta “Bobo” Head",Between Stone Avenue and Powell Street,11212,Ampry-Samuel,,"MULTILINESTRING ((-73.90362533599995 40.66811446400004, -73.90623244299996 40.667736055000034))",POINT (-73.90492888949996 40.66792525950004),40.66792525950004,-73.90492888949996
"MULTILINESTRING ((-73.99311299199996 40.722770430000025, -73.99349654699995 40.72170524500007))",Int. No. 1103-A,12/28/2009,2009,2009/092,Street,Manhattan,The Bowery Mission Way,227 Bowery at the intersection with Prince Street,Group,"The Bowery Mission is the third oldest Rescue Mission in the United States and has been serving the homeless in the city of New York since 1879.  It provides meals, shelter, showers, clothing and medical care to the homeless.",Between Rivington Street and Stanton Street,10002,Gerson,,"MULTILINESTRING ((-73.99311299199996 40.722770430000025, -73.99349654699995 40.72170524500007))",POINT (-73.99330476949996 40.722237837500046),40.722237837500046,-73.99330476949996
