Coordinates,Intro Number,Enactment Date,Enactment Year,Enactment Number,Category,Borough,New Name,Present Name,Membership,Biographical Information,Limits,Zip Code,Introduced by Council Member(s),Notes,geometry,centroid,latitude,longitude,pct_male_named_streets,pct_male_pop
"MULTILINESTRING ((-73.90651083299997 40.685071520000065, -73.90918767699998 40.682329725000045))",Int. No. 281-A,05/05/2004,2004,2004/008,Street,Brooklyn,Marine Lance Corporal William Wayne White Street,Pilling Street,Male,"William Wayne White was born on February 6, 1979 in Brooklyn, New York. He grew up in the Bushwick Section of Brooklyn, where he attended elementary school at Pilgrim Christian Academy and graduated from the St. Elizabeth Seaton School. He attended Bisho",between Broadway and Evergreen Avenue,11233,Dilan,,"MULTILINESTRING ((-73.90651083299997 40.685071520000065, -73.90918767699998 40.682329725000045))",POINT (-73.90784925499997 40.683700622500055),40.683700622500055,-73.90784925499997,66.3%,48%
"MULTILINESTRING ((-73.76029096299999 40.59847173700007, -73.75981352899998 40.598589858000025, -73.75867090799994 40.59862651700007, -73.75829539899996 40.59861429700004, -73.75691137899997 40.59885868500004, -73.75679215699995 40.59888818100006))",Int. No. 1054,02/25/2016,2016,2016/023,Street,Queens,Detective Randolph Holder Way,At the intersection of Collier Avenue and Briar Place,Male,Randolph Holder had served with the New York City Police Department for five years and was assigned to Police Service Area 5.  He and his partner were on patrol in East Harlem when they responded to a call of shots fired.  The officers canvassed the area,Between Beach 25th Street and Beach 22nd Street,11691,Richards and  Mark-Viverito,,"MULTILINESTRING ((-73.76029096299999 40.59847173700007, -73.75981352899998 40.598589858000025, -73.75867090799994 40.59862651700007, -73.75829539899996 40.59861429700004, -73.75691137899997 40.59885868500004, -73.75679215699995 40.59888818100006))",POINT (-73.75854042558757 40.598658887391906),40.598658887391906,-73.75854042558757,63.1%,49%
"MULTILINESTRING ((-73.90483067999998 40.64876607200006, -73.90317843899999 40.64728047800003))",Int. No. 746-A,12/29/2005,2005,2005/131,Street,Brooklyn,"P.O. Raymond Cannon, Jr. Street",East 98th Street,Male,"Police Officer Raymond Cannon, Jr. was a young, energetic, highly-motivated cop.  He was killed in the line of duty when he responded to a call at Frenchie’s Bike Shop to investigate a suspicious person.  As magnanimous as his bravery, so too is the en",Between Foster Avenue and Farragut Road,11236,Barron,,"MULTILINESTRING ((-73.90483067999998 40.64876607200006, -73.90317843899999 40.64728047800003))",POINT (-73.90400455949998 40.64802327500004),40.64802327500004,-73.90400455949998,66.3%,48%
"MULTILINESTRING ((-73.86905052499998 40.76102709200006, -73.86863291899994 40.76106963700005, -73.86821660199996 40.761112051000055))",Int. No. 827,12/18/2001,2001,2001/068,Street,Queens,Rev. William E. Gardner Place,31st Avenue,Male,"The following biographical material was provided by the Gardner family.
William E. Gardner, Sr. was born to Moses and Carrie Gardner, on February 26, 
1907, in New Smyrna, Florida. He was baptized at an early age into the fellowship of the 
Elizabeth Bap",between 100th Street and 101st Street,11369,"s Marshall and Carrion; also, O’Donovan and Sabini",,"MULTILINESTRING ((-73.86905052499998 40.76102709200006, -73.86863291899994 40.76106963700005, -73.86821660199996 40.761112051000055))",POINT (-73.86863356349187 40.76106957142047),40.76106957142047,-73.86863356349187,63.1%,49%
"MULTILINESTRING ((-73.87131069499998 40.756918437000024, -73.87102638099998 40.755341791000035))",Int. No.  1631,08/23/2019,2019,2019/158,Street,Queens,Bishop James W. Ferguson Way,97th Street,Male,Bishop James Ferguson established a working relationship with Elmcor Youth and Adult Center in 1982. It started with the Junior Choir caroling in front of Elmcor during the Christmas of 1982. An outreach ministry began under the leadership of then “Rev,Between Northern Boulevard and 34th Avenue,11372,Moya,,"MULTILINESTRING ((-73.87131069499998 40.756918437000024, -73.87102638099998 40.755341791000035))",POINT (-73.87116853799998 40.75613011400002),40.75613011400002,-73.87116853799998,63.1%,49%
"MULTILINESTRING ((-73.95518932199997 40.788555821000045, -73.95378652699998 40.78796689500007))",Int. No. 2477,01/15/2022,2022,2022/054,Street,Manhattan,Saint Tikhon Way,East 97th Street,Male,"During his tenure as Archbishop of North America, Saint Tikhon moved the Headquarters of the Russian Orthodox Christian Church of America from San Francisco to 15 East 97th Street, where the St. Nicholas Cathedral remains today. His office and personal r",Between Fifth Avenue and Madison Avenue,10029,Powers,,"MULTILINESTRING ((-73.95518932199997 40.788555821000045, -73.95378652699998 40.78796689500007))",POINT (-73.95448792449997 40.78826135800006),40.78826135800006,-73.95448792449997,53.4%,48%
"MULTILINESTRING ((-73.92599138099996 40.68306119400006, -73.92296316799997 40.68340697200006))",Int. No. 1744,12/01/2017,2017,2017/237,Street,Brooklyn,Jackie Robinson Way,MacDonough Street,Male,"Jackie Robinson played for the Brooklyn Dodgers and advanced the cause of professional African-American athletes.  In 1955, he helped the Dodgers reach the pinnacle of Major League Baseball by winning the World Series.  He retired in 1957 with a career b",Between Patchen Avenue and Ralph Avenue,11233,Mealy and Cornegy,,"MULTILINESTRING ((-73.92599138099996 40.68306119400006, -73.92296316799997 40.68340697200006))",POINT (-73.92447727449996 40.68323408300006),40.68323408300006,-73.92447727449996,66.3%,48%
"MULTILINESTRING ((-73.98184899799998 40.67042057000003, -73.97967044899997 40.66936720600006))",Int. No. 620,02/05/2015,2015,2015/015,Street,Brooklyn,Barry Weinbrom Way,5th Street,Male,Barry Weinbrom taught science in the New York City Board of Education from 1968 – 2001.  He taught general science at the middle school level for 28 years and biology and environmental science in the high school for seven years.  During his teaching ca,Between 6th Avenue and 7th Avenue,11215,Lander,,"MULTILINESTRING ((-73.98184899799998 40.67042057000003, -73.97967044899997 40.66936720600006))",POINT (-73.98075972349997 40.66989388800005),40.66989388800005,-73.98075972349997,66.3%,48%
"MULTILINESTRING ((-74.07703503699997 40.64313609100003, -74.07642081099993 40.642301649000046))",Int. No. 437-A,06/03/2003,2003,2003/034,Street,Staten Island,The Honorable Louis Sangiorgio Plaza,Stuyvesant Place,Male,"Louis Sangiorgio was born on Staten Island on August 10, 1929. A lifelong Staten Islander, Justice Sangiorgio graduated from New Dorp High School in 1947. Following graduation, he served in the United States Navy and received his Honorable Discharge in 1",Between Schuyler Street and Hyatt Street,10301,McMahon,,"MULTILINESTRING ((-74.07703503699997 40.64313609100003, -74.07642081099993 40.642301649000046))",POINT (-74.07672792399995 40.64271887000004),40.64271887000004,-74.07672792399995,67.5%,49%
"MULTILINESTRING ((-73.85296931299996 40.84958167000008, -73.85230197899995 40.849870585000076))",Int. No. 613,05/09/2005,2005,2005/043,Street,Bronx,Dominick DeProspo Lane,Morris Park Avenue,Male,"Dominick DeProspo planned, organized, fundraised, directed and coordinated the Bronx Columbus Day Parade.  For 27 years, he proudly waved a banner high for Italian American Pride.  He was instrumental in starting the Knights of Columbus Santa Maria Chapt",Between Tomlinson and Haight Avenues,10461,Provenzano,,"MULTILINESTRING ((-73.85296931299996 40.84958167000008, -73.85230197899995 40.849870585000076))",POINT (-73.85263564599995 40.84972612750008),40.84972612750008,-73.85263564599995,64.7%,47%
"MULTILINESTRING ((-73.99145479999999 40.72107602300008, -73.99091567599999 40.722118857000055))",Int. No. 590-A,07/11/2011,2011,2011/047,Street,Manhattan,Harry Wieder Way,Forsyth Street,Male,"Harry Wieder was a member of Community Board 3 (CB 3) and was an activist for gay rights and people with disabilities.  He was a member of CB 3’s Transportation Committee, as well as, Human Services, Health, Disability and Seniors/Youth and Education C",Between Stanton Street and Rivington Street,10002,Chin,,"MULTILINESTRING ((-73.99145479999999 40.72107602300008, -73.99091567599999 40.722118857000055))",POINT (-73.99118523799999 40.72159744000007),40.72159744000007,-73.99118523799999,53.4%,48%
"MULTILINESTRING ((-73.82189042299996 40.599015793000035, -73.82085240799995 40.59890785600004))",Int. No. 565,10/20/2003,2003,2003/062,Street,Queens,Henry Weichaitis Road,West 20th Road,Male,"Henry Weichaitis was born in Maspeth, Queens on September 28, 1919.  He was a veteran of World War II, when he served as a United States Merchant Marine.  After the war, he moved to Broad Channel where he met and married Helen Hutchinson.  He worked as a",In its entirety,11693,"Addabbo, Jr.",,"MULTILINESTRING ((-73.82189042299996 40.599015793000035, -73.82085240799995 40.59890785600004))",POINT (-73.82137141549995 40.59896182450004),40.59896182450004,-73.82137141549995,63.1%,49%
"MULTILINESTRING ((-73.93528231299996 40.62114021800005, -73.93504627799996 40.62092034300008))",Int. No. 988,07/29/2018,2018,2018/139,Street,Brooklyn,Firefighter William J. Gormley Way,Flatlands Avenue,Male,William J. Gormley was a veteran of the United States Marine Corps. and later joined the FDNY in 1988.  He retired from the East Flatbush Ladder Company 174 in 2006.  He died as a result of illness from being a first responder on 9/11.,Between Flatbush Avenue and Avenue M,11234,Williams,,"MULTILINESTRING ((-73.93528231299996 40.62114021800005, -73.93504627799996 40.62092034300008))",POINT (-73.93516429549996 40.621030280500065),40.621030280500065,-73.93516429549996,66.3%,48%
"MULTILINESTRING ((-73.87525295699999 40.72745927700004, -73.87558078299998 40.72722665300006))",Int. No. 480-A,08/14/2022,2022,2022/081,Street,Bronx,Louis Iorio Way,60th Drive,Male,"Louis Iorio was a well-known fixture at Resurrection Ascension, volunteering as a Parish Athlete Representative. He ran a basketball clinic for young kids every Saturday morning, in addition to coaching teams for the parish and organizing basketball tour",Between 84th Street and the dead end of the block,11379,Holden,,"MULTILINESTRING ((-73.87525295699999 40.72745927700004, -73.87558078299998 40.72722665300006))",POINT (-73.87541686999998 40.72734296500005),40.72734296500005,-73.87541686999998,64.7%,47%
"MULTILINESTRING ((-73.82110359799998 40.84625901100003, -73.82035526199996 40.846228576000044))",Int. No. 428-A,12/20/2010,2010,2011/003,Street,Bronx,Alfred J. Ranieri Way,Ampere Avenue,Male,"Alfred J. Ranieri was a prominent attorney and civic leader in the East Bronx as well as a United States Navy veteran of World War II.  A fifty-year resident of the Spencer Estate Country Club community, he served as President of the Homeowners Associati",Between Stadium Avenue and Ohm Avenue,10465,Vacca,,"MULTILINESTRING ((-73.82110359799998 40.84625901100003, -73.82035526199996 40.846228576000044))",POINT (-73.82072942999997 40.84624379350004),40.84624379350004,-73.82072942999997,64.7%,47%
"MULTILINESTRING ((-73.93416889299993 40.60792298300004, -73.93358524399997 40.60830743200006))",Int. No. 613,05/09/2005,2005,2005/043,Street,Brooklyn,"James Warren Nicolaidis Way, Borough of Brooklyn",Avenue S,Male,James Warren Nicoladis was a life long resident of Marine Park and true community leader.  He devoted much of his life in Marine Park helping others become better at what they would later do in life.  He spent 26 years coaching football for the Brooklyn,Between East 32nd and East 33rd Streets,11234,Fidler,,"MULTILINESTRING ((-73.93416889299993 40.60792298300004, -73.93358524399997 40.60830743200006))",POINT (-73.93387706849995 40.60811520750005),40.60811520750005,-73.93387706849995,66.3%,48%
"MULTILINESTRING ((-73.84404876899998 40.72234418200003, -73.84195068599996 40.72296982700004))",Int. No. 1102-A,07/23/2023,2023,2023/110,Street,Queens,Dr. Karl Neumann Way,70th Road,Male,"Dr. Karl Neumann was a pediatrician in Forest Hills for over 50 years. Throughout career in pediatrics and travel medicine, he provided his patients, their parents, students, and readers of his blog with the most thorough advice and information available",Between 108th Street and 110th Street,11375,Schulman,,"MULTILINESTRING ((-73.84404876899998 40.72234418200003, -73.84195068599996 40.72296982700004))",POINT (-73.84299972749997 40.722657004500036),40.72265700450003,-73.84299972749997,63.1%,49%
"MULTILINESTRING ((-73.94255882599998 40.79733493100008, -73.94215113099995 40.79789128600004))",Int. No. 2477,01/15/2022,2022,2022/054,Street,Manhattan,"Hector ""Macho"" Camacho Way",Lexington Avenue,Male,"Hector Camacho, was a famous boxer. He moved to Spanish Harlem at the age of three and started to gain a passion for boxing at the age of eleven and astonishingly won three New York City Golden Gloves titles. He was later mentored by his language teacher",Between 114th Street and 115th Street,10029,Ayala,,"MULTILINESTRING ((-73.94255882599998 40.79733493100008, -73.94215113099995 40.79789128600004))",POINT (-73.94235497849996 40.79761310850006),40.79761310850006,-73.94235497849996,53.4%,48%
"MULTILINESTRING ((-73.82802379799995 40.692108079000036, -73.82689715099997 40.68978743300005))",Int. No. 897,03/19/2023,2023,2023/044,Street,Queens,Guru Nanak Way,118th Street,Male,"Guru Nanak is the founder of Sikhism. The fundamental beliefs of Sikhism, articulated in the sacred scripture Guru Granth Sahib, include faith and meditation on the name of the one creator; unity of all humankind; engaging in selfless service, striving f",Between 95th Avenue and 101st Avenue,11419,Adams,,"MULTILINESTRING ((-73.82802379799995 40.692108079000036, -73.82689715099997 40.68978743300005))",POINT (-73.82746047449996 40.69094775600004),40.69094775600004,-73.82746047449996,63.1%,49%
"MULTILINESTRING ((-73.98321974699996 40.695806520000076, -73.98326266299995 40.694869022000034))",Int. No. 761-A,03/07/2012,2012,2012/014,Street,Brooklyn,Alain Schaberger Way,Gold Street,Male,"NYPD Officer Alain Schaberger served in the United States Navy from 1991 until 1995.  He was a 10-year veteran in the NYPD when he was killed in the line of duty on March 13, 2011 when he was pushed over a railing while responding to a domestic violence",Between Tillary Street and Tech Place,11201,Levin,,"MULTILINESTRING ((-73.98321974699996 40.695806520000076, -73.98326266299995 40.694869022000034))",POINT (-73.98324120499996 40.695337771000055),40.695337771000055,-73.98324120499996,66.3%,48%
"MULTILINESTRING ((-73.94035797799995 40.83056726400008, -73.94037407099995 40.83147037800006, -73.94035797799995 40.83159011600003, -73.94030433399996 40.83173217800004, -73.94016944899994 40.83196997600004, -73.93998246899997 40.83219894900003, -73.93982421799996 40.83242015700006, -73.93973045899997 40.83258545000007, -73.93963378199999 40.83278951200003, -73.93949571699994 40.832999286000074, -73.93936556099999 40.83310812900004, -73.93914379099994 40.83329358300006, -73.93856626199994 40.833792035000045, -73.93828371999996 40.83401280800007, -73.93814844099995 40.83412956300003, -73.93810127999996 40.834187315000065, -73.93806148699997 40.834257465000064, -73.93799523999996 40.834350064000034, -73.93791730799995 40.83451163800004, -73.93779646199994 40.83476670600004, -73.93755238699998 40.83534246700003, -73.93706422499997 40.83640989000003, -73.93668675199996 40.837192463000065, -73.93643099199994 40.837794503000055, -73.93627478699995 40.83801283300005, -73.93610172999996 40.838224737000075, -73.93593952499998 40.83840231600004, -73.93568774499994 40.83859903800004, -73.93549781499996 40.83871717000005, -73.93538843099998 40.83880263400005, -73.93524449999995 40.838960205000035, -73.93516676299998 40.839068858000076, -73.93511366999996 40.83914306600008, -73.93505118499996 40.83927260300004, -73.93499892399996 40.83947001100006, -73.93498636799995 40.83956342100004, -73.93498748799993 40.83962626700003, -73.93498835499997 40.839674874000025, -73.93498933499995 40.839729875000046, -73.93501501799994 40.839857589000076, -73.93504276799996 40.83993731700008, -73.93507036199998 40.840016597000044, -73.93512230599998 40.84012341400006, -73.93515926099997 40.84019940700006, -73.93519126499996 40.84026521900006, -73.93532545899996 40.84055580000006, -73.93546031799997 40.84084781700005, -73.93556651399996 40.84107776800005, -73.93566382799997 40.84130180900007))",Int. No. 877-A,12/29/2008,2008,2008/064,Street,Manhattan,Paul Robeson Boulevard,Edgecombe Avenue,Male,Mr. Robeson was a long time resident of Harlem.  He was a renowned actor and singer of the 1920’s and 1930’s.  Mr. Robeson was an outspoken defender of civil liberties and civil rights.  He was also a star athlete and accomplished student at Rutgers,Between West 155th Street and West 171st Street,10031,Jackson,,"MULTILINESTRING ((-73.94035797799995 40.83056726400008, -73.94037407099995 40.83147037800006, -73.94035797799995 40.83159011600003, -73.94030433399996 40.83173217800004, -73.94016944899994 40.83196997600004, -73.93998246899997 40.83219894900003, -73.93982421799996 40.83242015700006, -73.93973045899997 40.83258545000007, -73.93963378199999 40.83278951200003, -73.93949571699994 40.832999286000074, -73.93936556099999 40.83310812900004, -73.93914379099994 40.83329358300006, -73.93856626199994 40.833792035000045, -73.93828371999996 40.83401280800007, -73.93814844099995 40.83412956300003, -73.93810127999996 40.834187315000065, -73.93806148699997 40.834257465000064, -73.93799523999996 40.834350064000034, -73.93791730799995 40.83451163800004, -73.93779646199994 40.83476670600004, -73.93755238699998 40.83534246700003, -73.93706422499997 40.83640989000003, -73.93668675199996 40.837192463000065, -73.93643099199994 40.837794503000055, -73.93627478699995 40.83801283300005, -73.93610172999996 40.838224737000075, -73.93593952499998 40.83840231600004, -73.93568774499994 40.83859903800004, -73.93549781499996 40.83871717000005, -73.93538843099998 40.83880263400005, -73.93524449999995 40.838960205000035, -73.93516676299998 40.839068858000076, -73.93511366999996 40.83914306600008, -73.93505118499996 40.83927260300004, -73.93499892399996 40.83947001100006, -73.93498636799995 40.83956342100004, -73.93498748799993 40.83962626700003, -73.93498835499997 40.839674874000025, -73.93498933499995 40.839729875000046, -73.93501501799994 40.839857589000076, -73.93504276799996 40.83993731700008, -73.93507036199998 40.840016597000044, -73.93512230599998 40.84012341400006, -73.93515926099997 40.84019940700006, -73.93519126499996 40.84026521900006, -73.93532545899996 40.84055580000006, -73.93546031799997 40.84084781700005, -73.93556651399996 40.84107776800005, -73.93566382799997 40.84130180900007))",POINT (-73.93748747681195 40.83591308287836),40.83591308287836,-73.93748747681195,53.4%,48%
"MULTILINESTRING ((-73.88065317499996 40.84160467400005, -73.88016769499995 40.84213630800008))",Int. No. 289-A,05/23/2006,2006,2006/013,Street,Bronx,Julio Torres Place,Bryant Avenue,Male,"Julio Torres was born and raised in Ponce, Puerto Rico. He joined the United States Army and proudly served during the Korean War. When he moved his family to the Bronx, he began working with the United States Postal Service. His desire for community inv",Between East 179th Street and Boston Road,10460,Rivera,,"MULTILINESTRING ((-73.88065317499996 40.84160467400005, -73.88016769499995 40.84213630800008))",POINT (-73.88041043499996 40.841870491000066),40.841870491000066,-73.88041043499996,64.7%,47%
"MULTILINESTRING ((-73.87530502899995 40.71175453400008, -73.87356159299998 40.711833600000034))",Int. No. 620,02/05/2015,2015,2015/015,Street,Queens,Steven Frosch Way,67th Drive,Male,Steven Frosch left the NYPD in 1999 to work for the Sanitation Department.  He was killed on the job while performing maintenance on a mechanical broom at the Maspeth garage he worked at.,Between 78th Street and 79th Street,11379,Crowley,,"MULTILINESTRING ((-73.87530502899995 40.71175453400008, -73.87356159299998 40.711833600000034))",POINT (-73.87443331099996 40.71179406700006),40.71179406700006,-73.87443331099996,63.1%,49%
"MULTILINESTRING ((-73.79485722299995 40.77194680300005, -73.79502888499997 40.770695524000075))",Int. No. 613,05/09/2005,2005,2005/043,Street,Queens,"Brother John W. Donoghue, CSC Way",170th Street,Male,"Brother John W. Donoghue was the founding principal of Holy Cross High School, the first Catholic boys’ high school, in Flushing, New York.  Brother Donoghue was a native of Massachusetts and spent a distinguished career as a dedicated educator and ins",Between 29th Avenue and Francis Lewis Boulevard,11358,Avella,,"MULTILINESTRING ((-73.79485722299995 40.77194680300005, -73.79502888499997 40.770695524000075))",POINT (-73.79494305399996 40.77132116350006),40.77132116350006,-73.79494305399996,63.1%,49%
"MULTILINESTRING ((-73.83212903299994 40.84703785200003, -73.83142450599996 40.847307029000035))",Int. No. 968,07/20/2024,2024,2024/081,Street,Bronx,Carmine Zeppieri Ave,Buhre Avenue,Male,"Carmine Zeppieri owned Zeppieri and Sons Italian Bakery, which offers a wide array of baked goods. The bakery was established in 1968, and has been serving the Bronx community since. In the 1980’s, the bakery expanded and offered Italian foods on top o",Between Crosby Avenue and Hobart Avenue,10461,Marmorato,,"MULTILINESTRING ((-73.83212903299994 40.84703785200003, -73.83142450599996 40.847307029000035))",POINT (-73.83177676949995 40.84717244050003),40.84717244050003,-73.83177676949995,64.7%,47%
"MULTILINESTRING ((-74.01315784499997 40.71731779900006, -74.01496028999998 40.71812446700005))",Int. No. 613,05/09/2005,2005,2005/043,Street,Manhattan,Frederick Douglass Landing,Chambers Street,Male,"Born a slave in Maryland, Frederick Douglass eventually escaped to freedom. His lifelong struggles for liberty and the rights of others have become a stirring episode in the darkest chapter of American history.  Frederick Douglass first came to New York",Between West Street and the Hudson River,10282,Gerson,twice,"MULTILINESTRING ((-74.01315784499997 40.71731779900006, -74.01496028999998 40.71812446700005))",POINT (-74.01405906749997 40.717721133000055),40.717721133000055,-74.01405906749997,53.4%,48%
"MULTILINESTRING ((-73.94621589899998 40.68074127300008, -73.94355514699998 40.681046382000034, -73.94070266499995 40.68137347500004, -73.93788704699995 40.68169633900004, -73.93496336799996 40.68203159300003))",Int. No. 877-A,12/29/2008,2008,2008/064,Street,Brooklyn,Rev. Dr. William A. Jones Way,MacDonough Street,Male,Rev. Dr. William A. Jones was one of the first African-American students to graduate with honors and receive a Bachelor’s Degree from the University of Kentucky.  He went on to receive his Master’s from Crozer Theological Seminary.  He went on to pre,Between Marcy Avenue and Lewis Avenue,11233,Vann,,"MULTILINESTRING ((-73.94621589899998 40.68074127300008, -73.94355514699998 40.681046382000034, -73.94070266499995 40.68137347500004, -73.93788704699995 40.68169633900004, -73.93496336799996 40.68203159300003))",POINT (-73.9405896337242 40.68138643495543),40.68138643495543,-73.9405896337242,66.3%,48%
"MULTILINESTRING ((-74.03809985099997 40.62062032400007, -74.03729816899994 40.622619996000026, -74.03683494999996 40.62377539500005, -74.03648201499993 40.62465570300003, -74.03619250199995 40.625338912000075, -74.03570236299998 40.62656140900003, -74.03526053899998 40.62760401700007))",Int. No. 457,12/05/2006,2006,2006/050,Street,Brooklyn,Joseph John Hasson III 9/11 Memorial Way,,Male,"Joseph John Hasson III attended PS 127 before entering Poly in 1979. At Poly, he took advantage of many academic opportunities and honed his athletic talents and competitive spirit. He played baseball and wrestled for Poly, but was most thrilled to be on",From Shore Road and 92nd Street to 82nd Street and Colonial Road,11209,Gentile,,"MULTILINESTRING ((-74.03809985099997 40.62062032400007, -74.03729816899994 40.622619996000026, -74.03683494999996 40.62377539500005, -74.03648201499993 40.62465570300003, -74.03619250199995 40.625338912000075, -74.03570236299998 40.62656140900003, -74.03526053899998 40.62760401700007))",POINT (-74.03669057847873 40.624116451439384),40.624116451439384,-74.03669057847873,66.3%,48%
"MULTILINESTRING ((-73.80323880499998 40.59241448500006, -73.79988116699997 40.59261630900005))",Int. No. 565,10/20/2003,2003,2003/062,Street,Queens,Mario P. Russo Boulevard,Amstel Boulevard,Male,"Mario Russo was born on May 30, 1915 in Jersey City, N.J. to Anna and Rocco Russo. He was the youngest of six children, and was a twin. His parents had a summer home in Arverne and as a young man Mario came to Rockaway during the summers. He worked for M",between Beach 71st Street and Beach 75th Street,11692,"Sanders, Jr.",,"MULTILINESTRING ((-73.80323880499998 40.59241448500006, -73.79988116699997 40.59261630900005))",POINT (-73.80155998599997 40.59251539700006),40.59251539700006,-73.80155998599997,63.1%,49%
"MULTILINESTRING ((-73.90203485899997 40.83709930500004, -73.90285442299995 40.83601926700004))",Int. No. 620,02/05/2015,2015,2015/015,Street,Bronx,Bishop Robert Green Way,3rd Avenue,Male,"Robert Green founded the Holy Tabernacle Church in 1965.  The church began in a small storefront.  Over the years, the church expanded with a membership of 150 people.  He was ordained a Bishop by Bishop Bassnight of the Redeemed Church in 1973.  The Hol",Between 171st Street and St. Paul’s Place,10456,Gibson,,"MULTILINESTRING ((-73.90203485899997 40.83709930500004, -73.90285442299995 40.83601926700004))",POINT (-73.90244464099996 40.83655928600004),40.83655928600004,-73.90244464099996,64.7%,47%
"MULTILINESTRING ((-73.92236822699994 40.63585817200004, -73.92274909999998 40.63564648600004))",Int. No. 289-A,05/23/2006,2006,2006/013,Street,Brooklyn,In Memory of Police Officer James Carragher,East 56th Street,Male,"Police Officer James Carragher was a veteran of World War II serving in the United States Navy. He received three Medals of Honor before being honorably discharged. Unfortunately, upholding his NYPD Oath that he took sixteen years earlier, Officer Carrag",East 56th Street and Farragut Road,11234,Stewart,,"MULTILINESTRING ((-73.92236822699994 40.63585817200004, -73.92274909999998 40.63564648600004))",POINT (-73.92255866349996 40.63575232900004),40.63575232900004,-73.92255866349996,66.3%,48%
"MULTILINESTRING ((-73.72352653599995 40.73396241200004, -73.72331683599998 40.73400213700006, -73.72327172699994 40.73389358700007, -73.72351645999998 40.73393187100004, -73.72352653599995 40.73396241200004))",Int. No. 185,07/29/2002,2002,2002/019,Street,Queens,Frank LoCicero Bellerose-Hillside Civic Garden,,Male,"The following biographical information was provided by the Bellerose Hillside Civic Association. 

Frank P. LoCicero was born on February 22nd, 1998 in Manhattan. He graduated from Harran High School where he studied art. He became, at age 17, the younge",entire traffic island on Hillside Avenue and the Cross Island Parkway Service Road South,11426,Weprin,,"MULTILINESTRING ((-73.72352653599995 40.73396241200004, -73.72331683599998 40.73400213700006, -73.72327172699994 40.73389358700007, -73.72351645999998 40.73393187100004, -73.72352653599995 40.73396241200004))",POINT (-73.72339123443061 40.73394560072157),40.73394560072157,-73.72339123443061,63.1%,49%
"MULTILINESTRING ((-73.88705802799996 40.84848094500006, -73.88589126699998 40.849848433000034))",Int. No. 1033,07/17/2009,2009,2009/046,Street,Bronx,Vincent Jackson Way,Clinton Avenue,Male,"Vincent Jackson was a sergeant in the New York City Health and Hospital Corporation hospital police when he retired in 1992.  Later on, he became interested in politics and became an advocate for housing and social programs that would improve the lives o",Between East 181st Street and East 182nd Street,10457,Rivera,,"MULTILINESTRING ((-73.88705802799996 40.84848094500006, -73.88589126699998 40.849848433000034))",POINT (-73.88647464749997 40.84916468900005),40.84916468900005,-73.88647464749997,64.7%,47%
"MULTILINESTRING ((-73.95973068099994 40.708201806000034, -73.95978408999997 40.70803009100007, -73.95983758899996 40.707858083000076, -73.95994082699997 40.70752615600003))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Brooklyn,Emmanuel St. Bernard’s Corner,Havemeyer Street,Male,"Emmanuel St. Bernard was a dedicated member of his community. He talked to everyone in the community.  He received a citation from the City Council for his community involvement, was an active member with the Tenant’s Patrol and also helped many people",Between Division Avenue and South 9th Street,11211,Restler,,"MULTILINESTRING ((-73.95973068099994 40.708201806000034, -73.95978408999997 40.70803009100007, -73.95983758899996 40.707858083000076, -73.95994082699997 40.70752615600003))",POINT (-73.95983575438534 40.70786398111989),40.70786398111989,-73.95983575438534,66.3%,48%
"MULTILINESTRING ((-73.93832285899998 40.84616819000007, -73.93789906999996 40.84598963700006))",Int. No. 1054,02/25/2016,2016,2016/023,Street,Manhattan,Freddy Beras-Goico Way,175th Street,Male,"Freddy Beras-Goico was born in Santa Cruz del Seibo, El Seibo, Dominican Republic. He had a career in media for over 30 years.  He was a T.V. presenter, writer for his show “El Gorde De La Semana” (The Fat Man of the Week), “Punto Final” and “C",Between Broadway and Wadsworth Avenue,10033,Rodriguez,,"MULTILINESTRING ((-73.93832285899998 40.84616819000007, -73.93789906999996 40.84598963700006))",POINT (-73.93811096449997 40.846078913500065),40.846078913500065,-73.93811096449997,53.4%,48%
"MULTILINESTRING ((-73.98289599399999 40.72264170600005, -73.98070194699994 40.72172288100006))",Int. No. 746-A,12/29/2005,2005,2005/131,Street,Manhattan,Reverend Pedro Pietri Way,East 3rd Street,Male,"Reverend Pedro Pietri was a very active member of his community, where he participated in many issues related to housing, culture, homelessness, citizen’s rights and youth. He was a gifted poet whose works could be seen and heard at the Nuyorican Poets",Between Avenue B and Avenue C,10009,Lopez,,"MULTILINESTRING ((-73.98289599399999 40.72264170600005, -73.98070194699994 40.72172288100006))",POINT (-73.98179897049997 40.722182293500055),40.722182293500055,-73.98179897049997,53.4%,48%
"MULTILINESTRING ((-73.99566762799998 40.62805317800007, -73.99363987799995 40.626837873000056))",Int. No. 590-A,07/11/2011,2011,2011/047,Street,Brooklyn,Zachary Sansone Way,59th Street,Male,"Zachary Sansone was born in Brooklyn and at the age of 12 he moved to Italy with his family.  After World War II, he became the first democratically elected mayor of Sant’ Antoio Abate, Italy.  He returned to New York in 1949 and became very active",Between 14th Avenue and 15th Avenue,11219,"Recchia, Jr.",,"MULTILINESTRING ((-73.99566762799998 40.62805317800007, -73.99363987799995 40.626837873000056))",POINT (-73.99465375299997 40.627445525500065),40.627445525500065,-73.99465375299997,66.3%,48%
