Coordinates,Intro Number,Enactment Date,Enactment Year,Enactment Number,Category,Borough,New Name,Present Name,Membership,Biographical Information,Limits,Zip Code,Introduced by Council Member(s),Notes,geometry,centroid,latitude,longitude,pct_female_named_streets,pct_female_pop
"MULTILINESTRING ((-73.85165081099996 40.82146143500006, -73.84881958999995 40.82184934400004))",Int. No. 457,12/05/2006,2006,2006/050,Street,Bronx,Allison C. Rivera-Roman’s Place,Homer Avenue,Female,"Allison Rivera-Roman lived her whole life in the Bronx. As a teenager, Allison was a vibrant and active student at Christopher Columbus High School where she was well known by her classmates and teaching staff. At her high school graduation, the school",Between Olmstead and Castle Hill Avenue,10473,Palma,,"MULTILINESTRING ((-73.85165081099996 40.82146143500006, -73.84881958999995 40.82184934400004))",POINT (-73.85023520049995 40.82165538950005),40.82165538950005,-73.85023520049995,25.5%,53%
"MULTILINESTRING ((-73.99089103299997 40.76104881800006, -73.99349009299993 40.76214790900008))",Int No. 2477,01/15/2022,2022,2022/054,Street,Manhattan,Frances Perkins Place,West 46th Street,Female,"Frances Perkins is considered by many historians to be one of the most import American female government officials of the 20th Century. For all four terms of Franklin Roosevelt’s administration she served as Secretary of Labor, the first woman to hold",Between Ninth Avenue and Tenth Avenue,10036,Johnson,,"MULTILINESTRING ((-73.99089103299997 40.76104881800006, -73.99349009299993 40.76214790900008))",POINT (-73.99219056299995 40.76159836350007),40.76159836350007,-73.99219056299995,26.5%,52%
"MULTILINESTRING ((-74.07531782399997 40.595139688000074, -74.07461051499996 40.595375036000064))",Int. No. 825,10/10/2008,2008,2008/048,Street,Staten Island,Loretta Quinn Way,McClean Avenue,Female,"Loretta Quinn completed her bachelor’s degree in Political Science at Staten Island Community College and graduated Magna Cum Laude in 1976.  Soon after, she devoted much of her time to serving the youth of Staten Island, especially runaways and underp",Between Jerome Avenue and Bionia Avenue,10305,Oddo,,"MULTILINESTRING ((-74.07531782399997 40.595139688000074, -74.07461051499996 40.595375036000064))",POINT (-74.07496416949996 40.59525736200007),40.59525736200007,-74.07496416949996,17.5%,51%
"MULTILINESTRING ((-73.88336630299995 40.74978402600004, -73.88301493299997 40.747829257000035))",Int. No. 2187,01/17/2021,2021,2021/014,Street,Queens,Lorena Borjas Way,83rd Street,Female,"Lorena Borjas was born in Veracruz, Mexico in 1960 and came to the United States in 1980. She became an advocate for the LGBT Community and inspired many people. She made sure people were treated fair and justly whether it be at health clinics or courtho",Between 37th Avenue and Roosevelt Avenue,11372,Moya,,"MULTILINESTRING ((-73.88336630299995 40.74978402600004, -73.88301493299997 40.747829257000035))",POINT (-73.88319061799996 40.74880664150004),40.74880664150004,-73.88319061799996,17.6%,51%
"MULTILINESTRING ((-73.93996091299994 40.78959125100005, -73.93790902299997 40.78872564300008))",Int. No. 556-A,06/14/2007,2007,2007/028,Street,Manhattan,Bernice Singletary Square,,Female,"Bernice Singletary migrated with her husband to New York in 1958 and worked with Marionat Bridal Veils, Inc. as a seamstress and later at the Board of Education as a Paraprofessional from 1968 until her retirement in June 1995.  She also served as the Wo","East 106th Street between First Avenue and the Service Road of the Franklin D. Roosevelt Drive,",10029,Mark-Viverito,,"MULTILINESTRING ((-73.93996091299994 40.78959125100005, -73.93790902299997 40.78872564300008))",POINT (-73.93893496799996 40.78915844700006),40.78915844700006,-73.93893496799996,26.5%,52%
"MULTILINESTRING ((-73.89961839399996 40.66400424500006, -73.90022256099996 40.666424326000026, -73.90140675699996 40.670989586000076))",Int. No. 388,07/09/2014,2014,2014/034,Street,Brooklyn,Lillie F. Martin Lane,Snediker Avenue,Female,"Lillie F. Martin was very involved with Anti-Poverty Programs, Youth Action Programs and GED Programs in East New York.  She was the first to offer food pantry’s in East New York and mediate relationships with the gangs of the 1970’s by formulating g",Between Livonia Avenue and Pitkin Avenue,11212,Barron,,"MULTILINESTRING ((-73.89961839399996 40.66400424500006, -73.90022256099996 40.666424326000026, -73.90140675699996 40.670989586000076))",POINT (-73.9005053400504 40.66749875702679),40.66749875702679,-73.9005053400504,22.1%,52%
"MULTILINESTRING ((-74.00597079199997 40.735800976000064, -74.00606615899994 40.735202550000054))",Int. No. 457,12/05/2006,2006,2006/050,Street,Manhattan,Jane Jacobs Way,Hudson Street,Female,Jane Jacobs was a figure of extraordinary influence in Greenwich Village and throughout the world. Her leading efforts helped thwart the construction of the Lower Manhattan Expressway and achieve numerous other invaluable accomplishments preserving the q,Between Perry Street and West 11th Street,10014,Quinn,,"MULTILINESTRING ((-74.00597079199997 40.735800976000064, -74.00606615899994 40.735202550000054))",POINT (-74.00601847549996 40.73550176300006),40.73550176300006,-74.00601847549996,26.5%,52%
"MULTILINESTRING ((-74.14472839999996 40.537700888000074, -74.14539358799993 40.53714439700008))",Int. No. 565,10/20/2003,2003,2003/062,Street,Staten Island,Mary Davies Drive,Tennyson Drive,Female,"Mary Davies was born on March 22, 1926, in the borough of Brooklyn, to Thomas and Helen Davies. Mary received her education attending various Brooklyn public schools, until her marriage to John Davies in 1937. Mary and her husband moved to Staten Island",between Glover Street and Goodall Street,10308,Lanza,,"MULTILINESTRING ((-74.14472839999996 40.537700888000074, -74.14539358799993 40.53714439700008))",POINT (-74.14506099399995 40.537422642500076),40.53742264250008,-74.14506099399995,17.5%,51%
"MULTILINESTRING ((-73.91840242699999 40.749408852000045, -73.91892694699999 40.74675821300008))",Int. No. 849,08/10/2015,2015,2015/076,Street,Queens,Marjorie Sewell Cautley Way,45th Street,Female,Marjorie Sewell Cautley was an American landscape architect who was very interested in the design of communal spaces and is remembered by her community as being instrumental in the design of the beautiful neighborhood.  She is known for having worked on,Between Skillman Avenue and 39th Avenue,11104,Van Bramer,,"MULTILINESTRING ((-73.91840242699999 40.749408852000045, -73.91892694699999 40.74675821300008))",POINT (-73.91866468699999 40.74808353250006),40.74808353250006,-73.91866468699999,17.6%,51%
"MULTILINESTRING ((-73.94262532199997 40.72572500700005, -73.94222477899996 40.72335078300006))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Brooklyn,Patricia R. Tambakis Way,Monitor Street,Female,Patricia R. Tambakis was the founder of Friends of McGoldrick Park in the early 1980’s. She held numerous fundraisers to provide permits and arrange activities for the kids in the community to play in the park. She organized educational programs such a,Between Driggs Avenue and Nassau Avenue,11222,Restler,,"MULTILINESTRING ((-73.94262532199997 40.72572500700005, -73.94222477899996 40.72335078300006))",POINT (-73.94242505049996 40.724537895000054),40.724537895000054,-73.94242505049996,22.1%,52%
"MULTILINESTRING ((-73.91342959099995 40.88709763700007, -73.91357174799998 40.88679347300007, -73.91410550799998 40.886398059000044))",Int. No. 620,02/05/2015,2015,2015/015,Street,Bronx,Debbie Bowden Way,Independence Avenue,Female,"Debbie Bowden was a Bronx resident and served her community for over 50 years in Council District 11, Community Board 8, and the neighborhoods of Riverdale, Kingsbridge, and Spuyten Duyvil. She left an enduring and lasting legacy of good acts in many sec",Between West 235th Street and West 236th Street,10463,Cohen,,"MULTILINESTRING ((-73.91342959099995 40.88709763700007, -73.91357174799998 40.88679347300007, -73.91410550799998 40.886398059000044))",POINT (-73.91372516171604 40.886713204259465),40.886713204259465,-73.91372516171604,25.5%,53%
"MULTILINESTRING ((-73.91674851399995 40.780411109000056, -73.91586835199996 40.779777729000045))",Int. No. 968,07/20/2024,2024,2024/081,Street,Queens,Mamie Fay Way,Ditmars Boulevard,Female,"Mamie Fay was an influential educator in Queens. She was born in 1872, and dedicated her life to breaking barriers and making a lasting impact in the field of education. In 1925, she became the first principal of P.S. 122Q, located in Astoria. This achie",Between 21st Street and 23rd Street,11105,Cabán,,"MULTILINESTRING ((-73.91674851399995 40.780411109000056, -73.91586835199996 40.779777729000045))",POINT (-73.91630843299995 40.78009441900005),40.78009441900005,-73.91630843299995,17.6%,51%
"MULTILINESTRING ((-73.88037401899999 40.84400906900004, -73.87982327199995 40.844620494000026))",Int. No. 988,07/29/2018,2018,2018/139,Street,Bronx,Lynn Wonsang Way,Vyse Avenue,Female,"Lynn Wonsang founded Unique People Services (UPS), an organization that provides shelter, food and counseling for formerly homeless individuals often struggling with health challenges.  Its Housing Opportunities for Persons with AIDS program serves over",Between East 180th Street and East 181st Street,10460,Torres,,"MULTILINESTRING ((-73.88037401899999 40.84400906900004, -73.87982327199995 40.844620494000026))",POINT (-73.88009864549997 40.84431478150003),40.84431478150003,-73.88009864549997,25.5%,53%
"MULTILINESTRING ((-73.92183306899994 40.81036785600003, -73.91851507699994 40.808966319000035))",Int. No. 825,10/10/2008,2008,2008/048,Street,Manhattan,Sandra Hernandez Place,East 140th Street,Female,"Sandra Hernandez dedicated herself to better the Mott Haven community.  Her life was that of second chances, hope and triumph.  After personal drug and alcohol abuse in the early years of her life, Mrs. Hernandez turned her life around and became the Fou",Between Brook Avenue and Willis Avenue,10454,Mark-Viverito,,"MULTILINESTRING ((-73.92183306899994 40.81036785600003, -73.91851507699994 40.808966319000035))",POINT (-73.92017407299994 40.809667087500024),40.809667087500024,-73.92017407299994,26.5%,52%
"MULTILINESTRING ((-73.93985932399994 40.82028818900005, -73.93730854299997 40.81920223800006))",Int. No. 2477,01/15/2022,2022,2022/054,Street,Manhattan,Althea Gibson Street,,Female,"Althea Gibson was an American tennis player who dominated women’s competition in the late 1950s. She was the first African American player to win the French, Wimbledon and U.S. Open singles championships. She grew up in New York City, w",At the intersection of West 143rd Street between Adam Clayton Powell Jr Boulevard and Malcolm X Boulevard,10030,Perkins,,"MULTILINESTRING ((-73.93985932399994 40.82028818900005, -73.93730854299997 40.81920223800006))",POINT (-73.93858393349996 40.819745213500056),40.819745213500056,-73.93858393349996,26.5%,52%
"MULTILINESTRING ((-73.91843633099995 40.70742566200005, -73.91773359199993 40.70811696200008))",Int. No. 620,02/05/2015,2015,2015/015,Street,Queens,Ann Maggio Way,Suydam Street,Female,"Ann Maggio was a teacher at St. Aloysius.  She served as the president of Citizens for a Better Ridgewood, a member of Community Board 5, president of the Suydam Street Block Association, and a member of the Onderdonk Civics’ board of directors.  She f",Between Cypress Avenue and the Grover Cleveland Athletic Field,11385,Reynoso,,"MULTILINESTRING ((-73.91843633099995 40.70742566200005, -73.91773359199993 40.70811696200008))",POINT (-73.91808496149994 40.70777131200006),40.70777131200006,-73.91808496149994,17.6%,51%
"MULTILINESTRING ((-74.01024493099999 40.651446615000054, -74.00867583899998 40.65050645900004))",Int. No. 281-A,05/05/2004,2004,2004/008,Street,Brooklyn,Sister Mary Geraldine Tobis Way,43rd Street,Female,"Sister Mary Geraldine Tobia, a stalwart of the southwest Brooklyn community, gave years of service to the children, families, newly arrived immigrant groups and the myriad of groups that comprise the gorgeous mosaic that is New York City.  A Magna Cum La",between 3rd Avenue and 4th Avenue,11232,Gonzalez,,"MULTILINESTRING ((-74.01024493099999 40.651446615000054, -74.00867583899998 40.65050645900004))",POINT (-74.00946038499998 40.65097653700005),40.65097653700005,-74.00946038499998,22.1%,52%
"MULTILINESTRING ((-73.95422660799994 40.80060021000003, -73.95259145399996 40.799914382000054))",Int. No. 968,07/20/2024,2024,2024/081,Street,Manhattan,Helene Nomsa Brath Way,West 112th Street,Female,"Helene Nomsa Brath was a community organizer, activist, educator and artist. She was a pioneer in the Black Arts Movement and was one of the founding members of the Grandassa Models, which centered on natural Black beauty in African-American women. She c",Between Adam Clayton Powell Jr. Boulevard and St. Nicholas Avenue,10026,Salaam,,"MULTILINESTRING ((-73.95422660799994 40.80060021000003, -73.95259145399996 40.799914382000054))",POINT (-73.95340903099995 40.80025729600004),40.80025729600004,-73.95340903099995,26.5%,52%
"MULTILINESTRING ((-73.95297440399997 40.81426742000008, -73.95142408699996 40.813613762000045))",Int. No. 590-A,07/11/2011,2011,2011/047,Street,Manhattan,Ramona Jennett Way,West 129th Street,Female,"Ramona Jennett served as president of the 129th Street Block Association, secretary of Community Board 9, was Treasurer of the Women’s Democratic Club, parent coordinator at P.S. 129 and a staff member of New York Hospital’s Intensive Care Unit for B",Between Convent Avenue and St. Nicholas Terrace,10027,Dickens,,"MULTILINESTRING ((-73.95297440399997 40.81426742000008, -73.95142408699996 40.813613762000045))",POINT (-73.95219924549997 40.81394059100006),40.81394059100006,-73.95219924549997,26.5%,52%
"MULTILINESTRING ((-73.99903520199996 40.65927062600008, -73.99702354599998 40.65806199200006))",Int. No. 746-A,12/29/2005,2005,2005/131,Street,Brooklyn,Sister Mary Franciscus Way,27th Street,Female,"Sister Mary Franciscus was the Chairperson of the Youth Committee of CB 7 in Brooklyn, where she was instrumental in developing the idea for Oppportunities for a Better Tomorrow (OBT), a comprehensive job training/placement program and GED program to ser",Between 4th and 5th Avenues,11232,Gonzalez,,"MULTILINESTRING ((-73.99903520199996 40.65927062600008, -73.99702354599998 40.65806199200006))",POINT (-73.99802937399997 40.65866630900007),40.65866630900007,-73.99802937399997,22.1%,52%
"MULTILINESTRING ((-73.90211410499995 40.82973247600006, -73.90039480899998 40.83112876300004))",Int. No. 1744,12/01/2017,2017,2017/237,Street,Bronx,EMT Yadira Arroyo Way,Boston Road,Female,Yadira Arroyo was killed in the line of duty when a man was trying to steal her FDNY ambulance and struck her.,Between East 168th Street and East 169th Street,10456,Gibson,,"MULTILINESTRING ((-73.90211410499995 40.82973247600006, -73.90039480899998 40.83112876300004))",POINT (-73.90125445699996 40.83043061950005),40.83043061950005,-73.90125445699996,25.5%,53%
"MULTILINESTRING ((-73.94051738699994 40.655894997000075, -73.94040473499996 40.65484298700005))",Int. No. 1103-A,12/28/2009,2009,2009/092,Street,Brooklyn,Janice Marie Knight Street,East 40th Street,Female,"Janice Marie Knight began her career as a teacher at PS 235 of a gifted pre-kindergarten class.  Her work ethic attributed to her appointment of Assistant Principal of PS 235 in 1995.  When she became Principal in 1999, she actively pursued opportunities",Between Lenox Road and Clarkson Avenue,11203,Mealy,,"MULTILINESTRING ((-73.94051738699994 40.655894997000075, -73.94040473499996 40.65484298700005))",POINT (-73.94046106099995 40.655368992000064),40.655368992000064,-73.94046106099995,22.1%,52%
"MULTILINESTRING ((-73.98690164099997 40.725170828000046, -73.98493866199993 40.72433967200004))",Int. No. 825,10/10/2008,2008,2008/048,Street,Manhattan,Frieda Zames Way,East 4th Street,Female,Frieda Zames served for several terms as the President of Disabled In Action of New York and was in the forefront of every struggle on behalf of people with disabilities.  Her efforts can be directly credited with improving access for mobility-impaired p,Between 1st Avenue and Avenue A,10009,Mendez,,"MULTILINESTRING ((-73.98690164099997 40.725170828000046, -73.98493866199993 40.72433967200004))",POINT (-73.98592015149995 40.724755250000044),40.72475525000005,-73.98592015149995,26.5%,52%
"MULTILINESTRING ((-73.92272830699994 40.69001831600008, -73.92149448999999 40.691281281000045))",Int. No. 988,07/29/2018,2018,2018/139,Street,Brooklyn,Avellar G. Hansley Place,Linden Street,Female,"Avellar G. Hansley was the founder and president of the Linden-Bushwick Block Association.  She received numerous awards for her work in her community such as the Certificate of Honor from the Kings County District Attorney’s Office, a New York State A",Between Broadway and Bushwick Avenue,11221,Reynoso,,"MULTILINESTRING ((-73.92272830699994 40.69001831600008, -73.92149448999999 40.691281281000045))",POINT (-73.92211139849996 40.69064979850006),40.69064979850006,-73.92211139849996,22.1%,52%
"MULTILINESTRING ((-73.97456538999995 40.60637417000004, -73.97421777499994 40.604507237000064))",Int. No. 613,05/09/2005,2005,2005/043,Street,Brooklyn,Cesaria “Cez” Soccoa Place,West 1st Street,Female,"Cesaria Socca was born in Queens and raised in Brooklyn.  In addition to her extensive school related volunteer work, Cesaria also did volunteer work as a CCD instructor of St. Simon and Jude, and as a parent help for St. Athanasius’ Athletic Program.",Between Quentin Road and Kings Highway,11223,Recchia,,"MULTILINESTRING ((-73.97456538999995 40.60637417000004, -73.97421777499994 40.604507237000064))",POINT (-73.97439158249995 40.60544070350005),40.60544070350005,-73.97439158249995,22.1%,52%
"MULTILINESTRING ((-73.73858060399994 40.679565052000044, -73.73975362299996 40.677482103000045))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Brooklyn,Justice Patricia P. Satterfield Way,230th Street,Female,"The Honorable Patricia Polson Satterfield, a retired Justice of the Supreme Court of the State of New York, Queens County, was a native of Christchurch, Virginia.  She was elected as a Judge of the Civil Court of the City of New York in 1990, becoming th",Between 131st Avenue and 133rd Avenue,11413,Brooks-Powers,,"MULTILINESTRING ((-73.73858060399994 40.679565052000044, -73.73975362299996 40.677482103000045))",POINT (-73.73916711349995 40.678523577500044),40.67852357750005,-73.73916711349995,22.1%,52%
"MULTILINESTRING ((-73.97113541699997 40.79527613800008, -73.96997491499997 40.79478067800005))",Int. No. 1217,12/30/2013,2013,2013/154,Street,Manhattan,Ariel Russo Place  (4 Years Old),West 97th Street,Female,Ariel Russo was 4 years-old when she was killed on a sidewalk in June 2013 when an unlicensed teen driver in an SUV jumped the curb while fleeing from the police and struck her.  Records indicated that there was a four-minute delay between the time EMS r,Between Amsterdam Avenue and Broadway,10025,Mark-Viverito,,"MULTILINESTRING ((-73.97113541699997 40.79527613800008, -73.96997491499997 40.79478067800005))",POINT (-73.97055516599997 40.795028408000064),40.795028408000064,-73.97055516599997,26.5%,52%
"MULTILINESTRING ((-73.97877467799998 40.72404563600003, -73.97656721999994 40.723128864000046))",Int. No. 556-A,06/14/2007,2007,2007/028,Street,Manhattan,O’ Donnell Way,East 7th Street,Female,"May O’ Donnell was a modern dance pioneer who gained unusual prominence as a member of the Martha Graham Contemporary Dance Company, and who maintained a 60-year career as a choreographer with more than 100 works now performed in colleges, universities",Between Avenues C and D,10009,Mendez,,"MULTILINESTRING ((-73.97877467799998 40.72404563600003, -73.97656721999994 40.723128864000046))",POINT (-73.97767094899996 40.72358725000004),40.72358725000004,-73.97767094899996,26.5%,52%
"MULTILINESTRING ((-73.93486518199995 40.81178167000007, -73.93469828899998 40.81296360500005, -73.93466570899994 40.81319433500005, -73.93459100099994 40.81379478100007, -73.93458384199994 40.813852318000045))",Int. No. 1227,08/03/2016,2016,2016/092,Street,Manhattan,Judge Constance Baker Motley Lane,The service road behind little Riverton adjacent to Harlem River Drive,Female,"Constance Baker Motley earned a law degree from Columbia Law School.  In 1945, she became a law clerk for Thurgood Marshall and later worked for the NAACP's Legal Defense and Educational Fund, establishing herself as a major contributor in the civil righ",Between East 135th  Street and 138th Street,10037,Dickens,,"MULTILINESTRING ((-73.93486518199995 40.81178167000007, -73.93469828899998 40.81296360500005, -73.93466570899994 40.81319433500005, -73.93459100099994 40.81379478100007, -73.93458384199994 40.813852318000045))",POINT (-73.93472081209995 40.81281650264226),40.81281650264226,-73.93472081209995,26.5%,52%
"MULTILINESTRING ((-74.00689414499993 40.71171105600007, -74.00609544199995 40.71188951900007))",Int. No. 457,12/05/2006,2006,2006/050,Street,Manhattan,Elizabeth Jennings Place,Park Row,Female,"A century before Rosa Parks, Elizabeth Jennings refused to be forced from a public bus because of the color of her skin. She was physically forced from the bus and filed damages against the company, driver and conductor. Represented by future president C",Between Beekman and Spruce Streets,10038,Gerson,,"MULTILINESTRING ((-74.00689414499993 40.71171105600007, -74.00609544199995 40.71188951900007))",POINT (-74.00649479349994 40.71180028750007),40.71180028750007,-74.00649479349994,26.5%,52%
"MULTILINESTRING ((-73.94375791499994 40.83523211800008, -73.94128491799995 40.834191058000044))",Int. No. 931-A,04/20/2009,2009,2009/025,Street,Manhattan,Lucille Bulger Place,West 159th Street,Female,"Lucille Bulger was a neighborhood leader and the founder and long-time Executive Director of the Community League of the Heights.  The organization was originally created to offer programs and services for the neighborhoods youth, but was later expanded",Between Broadway and Amsterdam Avenue,10032,Jackson,,"MULTILINESTRING ((-73.94375791499994 40.83523211800008, -73.94128491799995 40.834191058000044))",POINT (-73.94252141649994 40.83471158800006),40.83471158800006,-73.94252141649994,26.5%,52%
"MULTILINESTRING ((-73.94583847099995 40.81207357100004, -73.94332255899997 40.81101387700005))",Int. No. 897,03/19/2023,2023,2023/044,Street,Manhattan,Ruth Logan Roberts Place,West 130th Street,Female,"Ruth Logan attended primary and elementary school in Tuskegee, was later sent to Ohio's Oberlin College for two years of college preparatory work, followed by a three-year education at Boston's Sargent College, from which she graduated in 1913. After her",Between Adam Clayton Powell Boulevard and Lenox Avenue,10030,Richardson Jordan,,"MULTILINESTRING ((-73.94583847099995 40.81207357100004, -73.94332255899997 40.81101387700005))",POINT (-73.94458051499996 40.811543724000046),40.811543724000046,-73.94458051499996,26.5%,52%
"MULTILINESTRING ((-73.98355974499998 40.69355583500004, -73.98335053299996 40.69307995400004, -73.98339344899995 40.69218512600003))",Int. No. 988,07/29/2018,2018,2018/139,Street,Brooklyn,Ida B. Wells Place,Gold Street,Female,"Ida B. Wells was an African-American journalist, abolitionist and feminist who led an anti-lynching crusade in the United States in the 1890s.  She went on to found and become integral in groups for African-American justice.  She was a teacher who became",Between Willoughby Avenue and Myrtle Avenue,11201,Levin,,"MULTILINESTRING ((-73.98355974499998 40.69355583500004, -73.98335053299996 40.69307995400004, -73.98339344899995 40.69218512600003))",POINT (-73.98340252267998 40.6928841999834),40.6928841999834,-73.98340252267998,22.1%,52%
"MULTILINESTRING ((-73.90015643799995 40.775504125000055, -73.89806729499998 40.77720577100007))",Int. No. 1102-A,07/23/2023,2023,2023/110,Street,Queens,Captain Alison Russo Way,42nd Street,Female,"Alison Russo-Elling joined the FDNY in 1998, and rose through the civil service ranks. She was a paramedic and a first responder at the World Trade Center during the 9/11 terrorist attacks. A dedicated public servant, she also volunteered with the Huntin",Between 20th Avenue and 19th Avenue,11105,Cabán,,"MULTILINESTRING ((-73.90015643799995 40.775504125000055, -73.89806729499998 40.77720577100007))",POINT (-73.89911186649996 40.77635494800006),40.77635494800006,-73.89911186649996,17.6%,51%
"MULTILINESTRING ((-73.85620077699997 40.85506184900004, -73.85548552199998 40.85538644500008))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Bronx,Shpresa Nika Way,Lydig Avenue,Female,"Shpresa Nika has been a steadfast member of the community for more than 30 years, having worked at Liberty Diner right up until her untimely passing from cancer. A lifelong Bronxite and member of the Albanian community, Shpresa was a wonderful and devote",Between Williamsbridge Avenue and Tomlinson Avenue,10461,Velázquez,,"MULTILINESTRING ((-73.85620077699997 40.85506184900004, -73.85548552199998 40.85538644500008))",POINT (-73.85584314949998 40.855224147000065),40.855224147000065,-73.85584314949998,25.5%,53%
"MULTILINESTRING ((-73.90980729599994 40.75792203900005, -73.90914210799997 40.75760238300006))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Queens,Annie Cotton-Morris Way,31st Avenue,Female,"Annie Cotton-Morris was a community leader who served as president of the Woodside Houses Tenants Association for over forty years, and in 2015, was elected Queens District Chair on the Citywide Council of Presidents, where she worked to bring stability",Between 49th Street and 50th Street,11377,Won,,"MULTILINESTRING ((-73.90980729599994 40.75792203900005, -73.90914210799997 40.75760238300006))",POINT (-73.90947470199995 40.757762211000056),40.757762211000056,-73.90947470199995,17.6%,51%
"MULTILINESTRING ((-73.98745400599995 40.68310358100007, -73.98783666799994 40.68253948500006))",Int. No. 480-A,08/14/2022,2022,2022/081,Street,Brooklyn,Rita Saunders Way,Bond Street,Female,"Rita Saunders's selflessness began at a young age when she petitioned for guardianship of her 6 siblings after her mother passed away from breast cancer when she was 16. She lived in Gowanus Houses her whole life, which she spent contributing to the comm",Between Baltic Street and Butler Street,11217,Restler,,"MULTILINESTRING ((-73.98745400599995 40.68310358100007, -73.98783666799994 40.68253948500006))",POINT (-73.98764533699995 40.682821533000066),40.682821533000066,-73.98764533699995,22.1%,52%
"MULTILINESTRING ((-73.89861784599998 40.83085590600007, -73.89704875399997 40.83102435200004))",Int. No. 849,08/10/2015,2015,2015/076,Street,Bronx,Maxine Sullivan Way,Ritter Place,Female,"Maxine Sullivan was a renowned jazz singer who recorded many songs in her career and performed in numerous venues across the United States and in Europe.  She has also performed in several films and Broadway shows.  In 1940, when she and her husband we",Between Prospect Avenue and Union Avenue,10459,Gibson,,"MULTILINESTRING ((-73.89861784599998 40.83085590600007, -73.89704875399997 40.83102435200004))",POINT (-73.89783329999997 40.830940129000055),40.830940129000055,-73.89783329999997,25.5%,53%
"MULTILINESTRING ((-73.91651128099994 40.80811858700008, -73.91504679499997 40.80749735100005, -73.91383529499996 40.80698342900007))",Int. No. 791,12/04/2001,2001,2001/060,Street,Bronx,La Lupe Way,East 140th Street,Female,"The following biographical information is excerpted from material provided by the Bronx Borough President’s Office and is also excerpted from a “La Lupe’s Grave” written by C.J. Sullivan and printed in the April 25 – May 1, 2001 edition of the",Between St. Ann’s Avenue and Cypress Avenue,10454,"Espada, Eisland, Lopez, Marshall, Perkins and Golden",,"MULTILINESTRING ((-73.91651128099994 40.80811858700008, -73.91504679499997 40.80749735100005, -73.91383529499996 40.80698342900007))",POINT (-73.9151732877205 40.80755100865882),40.80755100865882,-73.9151732877205,25.5%,53%
"MULTILINESTRING ((-74.00518892099996 40.72860241600006, -74.00313756799994 40.72840078200005))",Int. No. 613,05/09/2005,2005,2005/043,Street,Manhattan,Gilda Radner Way,West Houston Street,Female,"Gilda Radner was one of the original cast member of the groundbreaking Saturday Night Live.  Gilda was diagnosed with ovarian cancer in 1986 and died at the age of 42 in 1989.  Her legacy is the pantheon of  her comedic characters, her films with husband",Between Varick and Sixth Avenues,10014,Quinn,,"MULTILINESTRING ((-74.00518892099996 40.72860241600006, -74.00313756799994 40.72840078200005))",POINT (-74.00416324449995 40.728501599000055),40.728501599000055,-74.00416324449995,26.5%,52%
"MULTILINESTRING ((-73.90214513299998 40.81841631300006, -73.90252868899995 40.81746633300003))",Int. No. 428-A,12/20/2010,2010,2011/003,Street,Bronx,Dra. Evelina Antonetty Way,Prospect Avenue,Female,"Dra. Evelina Antonetty was a community activist who founded the United Bronx Parents Inc. in 1966.  The agency helped parents and local businesses advocate for improved education for children in south Bronx public schools, specifically in bilingual educa",Between East 156th Street and Macy Place,10455,Arroyo,,"MULTILINESTRING ((-73.90214513299998 40.81841631300006, -73.90252868899995 40.81746633300003))",POINT (-73.90233691099996 40.81794132300004),40.81794132300004,-73.90233691099996,25.5%,53%
"MULTILINESTRING ((-73.86599374099995 40.845248499000036, -73.86524759999998 40.845396065000045))",Int. No. 940,12/18/2001,2001,2001/068,Street,Bronx,Georgina Soccodato Way,Morris Park Avenue,Female,"The following biographical information was provided by the Soccodato family.
Georgina Soccodato, a native New Yorker, was born on July 18, 1946. She was 
educated in the City’s public schools and graduated from the High School of Fashion 
Industry in M",from White Plains Road to Hunt Avenue,10462,"Provenzano, Eisland and Abel; also, Council Members O’Donovan and Sabini",,"MULTILINESTRING ((-73.86599374099995 40.845248499000036, -73.86524759999998 40.845396065000045))",POINT (-73.86562067049996 40.84532228200004),40.84532228200004,-73.86562067049996,25.5%,53%
"MULTILINESTRING ((-73.95602268499994 40.763738319000026, -73.95566219599993 40.764232384000024))",Int. No. 613,05/09/2005,2005,2005/043,Street,Manhattan,Mary Woodward Lasker Way,York Avenue,Female,"Mary Lasker was America’s foremost citizen-advocate for public health and medical research fro much of the 20th Century, for which she also was a renowned philanthropist.  Over the course of several decades, she cajoled, educated, lobbied and otherwise",Between 67th and 68th Streets,10065,Miller,,"MULTILINESTRING ((-73.95602268499994 40.763738319000026, -73.95566219599993 40.764232384000024))",POINT (-73.95584244049994 40.763985351500025),40.763985351500025,-73.95584244049994,26.5%,52%
