Coordinates,Intro Number,Enactment Date,Enactment Year,Enactment Number,Category,Borough,New Name,Present Name,Membership,Biographical Information,Limits,Zip Code,Introduced by Council Member(s),Notes
"MULTILINESTRING ((-73.95328636899995 40.669767679000074, -73.95351167399997 40.667375185000026, -73.95374125499995 40.66493720400007, -73.95378226499997 40.664501707000056, -73.95384089199996 40.66387910900005, -73.95387068199994 40.66356274700007, -73.95380671799995 40.663049761000025, -73.95371831099999 40.66234074600004, -73.95361234999996 40.66149094100007, -73.95354348199999 40.66093860700005, -73.95345803099997 40.659973371000035, -73.95329929399998 40.65870025100003, -73.95320798899996 40.65766885600004, -73.95312772299997 40.656762154000035, -73.95304597699999 40.65610649400003, -73.95298988299999 40.65547281800008, -73.95291887699995 40.654903295000054, -73.95283708899996 40.653979365000055, -73.95266264499998 40.65258013400006, -73.95251520599999 40.65091449500005, -73.95238167299993 40.64984336400005, -73.95232181399996 40.64916711300003, -73.95215291499994 40.64781226100007, -73.95170922999995 40.64364497100007, -73.95141762999998 40.64090599000008, -73.95120000199995 40.63886174100003, -73.95091353399994 40.636170770000035))",Int. No. 1087,09/08/2018,2018,2018/162,Street,Brooklyn,Jean-Jacques Dessalines Boulevard,Rogers Avenue,Male,"Jean-Jacques Dessalines is one of the founding fathers of Haiti, having taken charge of the Haitian Revolution to victory in defeating the French Napoleon Army in 1804.  Significant to world history, the Haitian Revolution is not only the first and onl",Between Farragut Road and Eastern Parkway,11210,"Williams, Cumbo and Eugene",
"MULTILINESTRING ((-73.86401600799996 40.87686201900004, -73.85996050799997 40.87686201900004))",Int. No. 281-A,05/05/2004,2004,2004/008,Street,Bronx,Mattie Harris Place,Tilden Street,Female,"Mattie Harris was a Lay Practical Nurse for more than 30 years and was a true Community Activist working in the Northeast Bronx for more than 35 years. She belonged to many community organizations including the Tilden Street Block Association, the Willia",between Bronxwood Avenue and East Gun Hill Road,10467,Seabrook,
"MULTILINESTRING ((-73.82103620699996 40.72606125600004, -73.82092891899998 40.725481940000066))",Int. No. 935,10/02/2012,2012,2012/048,Street,Queens,Pat Dolan Way,Vleigh Place,Female,"Patricia Dolan was a Queens activist who advocated for pedestrian safety for over 25 years as president of the Kew Gardens Hills Civic Association.  She founded the Flushing Meadows Corona Park Conservancy, was a member of Community Board 8 and was also",Between 72nd Road and 72nd Drive,11367,Gennaro,
"MULTILINESTRING ((-73.86458150799996 40.83249877600008, -73.86488251099996 40.83417641200003))",Int. No. 457,12/05/2006,2006,2006/050,Street,Bronx,Mike Nuñez Place,Theriot Avenue,Male,"Mike Nuñez was an active and dedicated member of the Bronx business community. His distinguished business career began in 1964 as a Special Assistant to the Executive Director of the South Bronx Neighborhood Orientation Center. In 1966, he was a consult",Between Westchester Avenue and the Cross Bronx Expressway Service Road,10472,Palma,
"MULTILINESTRING ((-73.74947512199998 40.76974673600006, -73.74761366899997 40.769901118000064))",Int. No. 565,10/20/2003,2003,2003/062,Street,Queens,Willow Street,40th Avenue,Misc,"Sometime in the 1920’s streets throughout the area of Douglaston, Queens and Little Neck, Queens were given numerical designations in order to come “in line” with the New York City street grid.  In 1970-1971, a movement to re-instate the named stre",between Douglaston Parkway and Circle Road,11363,Avella,
"MULTILINESTRING ((-73.83000769399996 40.58184976300004, -73.83700825899996 40.579890066000075))",Int. No. 1103-A,12/28/2009,2009,2009/092,Street,Queens,Beverly Baxter Blvd.,Rockaway Beach Boulevard,Female,"Beverly Baxter graduated from Columbia University where she majored in theater, creative writing and journalism.  She moved to Rockaway in 1992 and was an active member of the community.  She wrote the column, “On the Beach” for the Rockaway Wave new",Between the west side of Beach 108 Street to the east side of Beach 116th Street,11694,Ulrich,
"MULTILINESTRING ((-73.98060507799994 40.668057333000036, -73.98105509299995 40.66753515500005))",Int. No. 620,02/05/2015,2015,2015/015,Street,Brooklyn,John Cortese Way,7th Avenue,Male,"John Cortese was a small business owner, veteran and community leader.  After he was wounded in the Korean War, he ran J.J. Cortese Fancy Fruit and Vegetable Market until he retired in 1998.  He served as the president of the 7th Avenue Merchants Associa",Between 7th Street and 8th Street,11215,Lander,
"MULTILINESTRING ((-73.93233111799998 40.851061369000035, -73.93113216999996 40.85054400800004))",Int. No. 342-A,02/18/2003,2003,2003/014,Street,Manhattan,Luis M. Beltre Place,West 184th Street,Male,"Louis M. Beltre was born on April 11, 1975 in New York City to Altagracia and Manuel Beltre.  He was raised on 184th Street in Washington Heights, from where he attended John F.  Kennedy High School in The Bronx.  After high school, Louis continued his e",between St. Nicholas Avenue and Audubon Avenue,10033,Martinez,
"MULTILINESTRING ((-74.16808725099997 40.61825588100004, -74.16614630699996 40.617967143000044))",Int. No. 556-A,06/14/2007,2007,2007/028,Street,Staten Island,Hugh White Jr. Way,Caswell Lane,Male,Hugh White Jr. touched the lives of all who met him.  He worked as a private contractor for the Time Warner Cable Company.  Hugh was a graduate of the College of Staten Island and was planning to continue his education in Architectural Engineering.  He e,Between Felton Street and Elson Street,10314,Oddo,
"MULTILINESTRING ((-73.94771579399998 40.79286882900004, -73.94634488699995 40.79227542900003))",Int. No. 342-A,02/18/2003,2003,2003/014,Street,Manhattan,Angelo Del Toro Place,East 106th Street,Male,"Angelo Del Toro was born in East Harlem, on April 16, 1947, to Virginia and Dionesio Del Toro.  He attended local schools, graduating from Brooklyn Technical High School, Manhattan Community College, City College of New York (Bachelor of Arts Degree) and",Between Lexington Avenue and Park Avenue,10029,Reed,
"MULTILINESTRING ((-73.89429169399995 40.81144441200007, -73.89348166699995 40.81109117900007))",Int. No. 825,10/10/2008,2008,2008/048,Street,Bronx,"Arlington Leon Eastmond, Sr. Way",Leggett Avenue,Male,"Arlington Leon Eastmond died in 1981.  He founded the Eastmond Boiler Company, a company which was located on Leggett Avenue for many years.  Under Mr. Eastmond’s leadership, the company provided the opportunity for numerous individuals to receive on t",Between Truxton Street and Dupont Street,10474,Arroyo,
"MULTILINESTRING ((-73.91301287599998 40.82018639700004, -73.91220016699998 40.82144689100005, -73.91177361099994 40.82210846100003))",Int. No. 825,10/10/2008,2008,2008/048,Street,Bronx,Yolanda Garcia Way,Third Avenue,Female,"Yolanda Garcia was age 53 at the time of her passing in February 2005.  She was one of the founders of Nos Quedamos/We Stay, a community group in her Melrose neighborhood that worked to prevent evictions of people who lived and worked in her neighborhood","Both sides of the street, from 156th Street to 159th Street",10451,Arroyo,
"MULTILINESTRING ((-73.90651083299997 40.685071520000065, -73.90918767699998 40.682329725000045))",Int. No. 281-A,05/05/2004,2004,2004/008,Street,Brooklyn,Marine Lance Corporal William Wayne White Street,Pilling Street,Male,"William Wayne White was born on February 6, 1979 in Brooklyn, New York. He grew up in the Bushwick Section of Brooklyn, where he attended elementary school at Pilgrim Christian Academy and graduated from the St. Elizabeth Seaton School. He attended Bisho",between Broadway and Evergreen Avenue,11233,Dilan,
"MULTILINESTRING ((-73.76029096299999 40.59847173700007, -73.75981352899998 40.598589858000025, -73.75867090799994 40.59862651700007, -73.75829539899996 40.59861429700004, -73.75691137899997 40.59885868500004, -73.75679215699995 40.59888818100006))",Int. No. 1054,02/25/2016,2016,2016/023,Street,Queens,Detective Randolph Holder Way,At the intersection of Collier Avenue and Briar Place,Male,Randolph Holder had served with the New York City Police Department for five years and was assigned to Police Service Area 5.  He and his partner were on patrol in East Harlem when they responded to a call of shots fired.  The officers canvassed the area,Between Beach 25th Street and Beach 22nd Street,11691,Richards and  Mark-Viverito,
"MULTILINESTRING ((-73.90483067999998 40.64876607200006, -73.90317843899999 40.64728047800003))",Int. No. 746-A,12/29/2005,2005,2005/131,Street,Brooklyn,"P.O. Raymond Cannon, Jr. Street",East 98th Street,Male,"Police Officer Raymond Cannon, Jr. was a young, energetic, highly-motivated cop.  He was killed in the line of duty when he responded to a call at Frenchie’s Bike Shop to investigate a suspicious person.  As magnanimous as his bravery, so too is the en",Between Foster Avenue and Farragut Road,11236,Barron,
"MULTILINESTRING ((-73.86905052499998 40.76102709200006, -73.86863291899994 40.76106963700005, -73.86821660199996 40.761112051000055))",Int. No. 827,12/18/2001,2001,2001/068,Street,Queens,Rev. William E. Gardner Place,31st Avenue,Male,"The following biographical material was provided by the Gardner family.
William E. Gardner, Sr. was born to Moses and Carrie Gardner, on February 26, 
1907, in New Smyrna, Florida. He was baptized at an early age into the fellowship of the 
Elizabeth Bap",between 100th Street and 101st Street,11369,"s Marshall and Carrion; also, O’Donovan and Sabini",
"MULTILINESTRING ((-73.87131069499998 40.756918437000024, -73.87102638099998 40.755341791000035))",Int. No.  1631,08/23/2019,2019,2019/158,Street,Queens,Bishop James W. Ferguson Way,97th Street,Male,Bishop James Ferguson established a working relationship with Elmcor Youth and Adult Center in 1982. It started with the Junior Choir caroling in front of Elmcor during the Christmas of 1982. An outreach ministry began under the leadership of then “Rev,Between Northern Boulevard and 34th Avenue,11372,Moya,
"MULTILINESTRING ((-73.95518932199997 40.788555821000045, -73.95378652699998 40.78796689500007))",Int. No. 2477,01/15/2022,2022,2022/054,Street,Manhattan,Saint Tikhon Way,East 97th Street,Male,"During his tenure as Archbishop of North America, Saint Tikhon moved the Headquarters of the Russian Orthodox Christian Church of America from San Francisco to 15 East 97th Street, where the St. Nicholas Cathedral remains today. His office and personal r",Between Fifth Avenue and Madison Avenue,10029,Powers,
"MULTILINESTRING ((-73.85984441899996 40.89094195000007, -73.85904780299995 40.89068646700008))",Int. No. 849,08/10/2015,2015,2015/076,Street,Bronx,Carmen Rosa Way,East 229th Street,Female,"Carmen Rosa was a longtime district manager of Community Board 12 in the Bronx.  She worked for the Bronx Overall Economic Development Corporation, and for more than 20 years she was an adjunct professor at Monroe College.  Her accomplishments while serv",Between Lowerre Place and White Plains Road,10466,King,
"MULTILINESTRING ((-73.92070661999998 40.74690072100003, -73.91995202499999 40.746811311000044))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Queens,ST. PAT’S FOR ALL WAY,Skillman Avenue,Group,"This location was chosen because the stage for the annual parade is erected at the intersection of 43rd Street and Skillman Avenue. The 25th edition of the parade will be held on March 3, 2024.  The St. Pat’s for All Parade celebrates the diversity of",Between 43rd Street and 44th Street,11104,Won,
"MULTILINESTRING ((-73.92599138099996 40.68306119400006, -73.92296316799997 40.68340697200006))",Int. No. 1744,12/01/2017,2017,2017/237,Street,Brooklyn,Jackie Robinson Way,MacDonough Street,Male,"Jackie Robinson played for the Brooklyn Dodgers and advanced the cause of professional African-American athletes.  In 1955, he helped the Dodgers reach the pinnacle of Major League Baseball by winning the World Series.  He retired in 1957 with a career b",Between Patchen Avenue and Ralph Avenue,11233,Mealy and Cornegy,
"MULTILINESTRING ((-73.94105042599995 40.714791095000066, -73.93882741099998 40.71535058100005))",Int. No. 556-A,06/14/2007,2007,2007/028,Street,Brooklyn,Betty “Moe” Trezza Way,Orient Avenue,Female,"Betty Trezza left her job as a Garment District embroiderer to play women’s professional baseball and went on to smack a memorable championship-winning hit.  She brought to the All-American Girls Professional Baseball League, created in the 1940’s to",Between Metropolitan Avenue and Olive Street,11211,Reyna,
"MULTILINESTRING ((-73.99040094299994 40.74599525200006, -73.98883721499999 40.74534295400008))",Int. No. 2477,01/15/2022,2022,2022/054,Street,Manhattan,TIN PAN ALLEY,West 28th Street,Group,"Between 1893 and 1910, this section of West 28th Street between Sixth Avenue and Broadway became known as Tin Pan Alley, often cited as the birthplace of American popular music for making sheet music available to countless American households. Here, comp",Between Sixth Avenue and Broadway,10001,Johnson,
"MULTILINESTRING ((-73.98184899799998 40.67042057000003, -73.97967044899997 40.66936720600006))",Int. No. 620,02/05/2015,2015,2015/015,Street,Brooklyn,Barry Weinbrom Way,5th Street,Male,Barry Weinbrom taught science in the New York City Board of Education from 1968 – 2001.  He taught general science at the middle school level for 28 years and biology and environmental science in the high school for seven years.  During his teaching ca,Between 6th Avenue and 7th Avenue,11215,Lander,
"MULTILINESTRING ((-74.07703503699997 40.64313609100003, -74.07642081099993 40.642301649000046))",Int. No. 437-A,06/03/2003,2003,2003/034,Street,Staten Island,The Honorable Louis Sangiorgio Plaza,Stuyvesant Place,Male,"Louis Sangiorgio was born on Staten Island on August 10, 1929. A lifelong Staten Islander, Justice Sangiorgio graduated from New Dorp High School in 1947. Following graduation, he served in the United States Navy and received his Honorable Discharge in 1",Between Schuyler Street and Hyatt Street,10301,McMahon,
"MULTILINESTRING ((-73.76882843399994 40.60700398600005, -73.76859776399994 40.606187420000026, -73.76845292499996 40.605725171000074, -73.76821276199996 40.604958692000025))",Int. No. 437-A,06/03/2003,2003,2003/034,Street,Queens,Gloria Warshofsky Memorial Place,Waterview Street,Female,"Gloria Brochin Warshofsky was a life long resident of Far Rockaway.  Although best known as an interior decorator, she was also a staunch community activist.  She was President of the Bayswater Civic Association and a member of Queens Community Board 14",between Bayswater Avenue and Coldspring Road,11691,"Sanders, Jr.",
"MULTILINESTRING ((-73.85296931299996 40.84958167000008, -73.85230197899995 40.849870585000076))",Int. No. 613,05/09/2005,2005,2005/043,Street,Bronx,Dominick DeProspo Lane,Morris Park Avenue,Male,"Dominick DeProspo planned, organized, fundraised, directed and coordinated the Bronx Columbus Day Parade.  For 27 years, he proudly waved a banner high for Italian American Pride.  He was instrumental in starting the Knights of Columbus Santa Maria Chapt",Between Tomlinson and Haight Avenues,10461,Provenzano,
"MULTILINESTRING ((-73.99145479999999 40.72107602300008, -73.99091567599999 40.722118857000055))",Int. No. 590-A,07/11/2011,2011,2011/047,Street,Manhattan,Harry Wieder Way,Forsyth Street,Male,"Harry Wieder was a member of Community Board 3 (CB 3) and was an activist for gay rights and people with disabilities.  He was a member of CB 3’s Transportation Committee, as well as, Human Services, Health, Disability and Seniors/Youth and Education C",Between Stanton Street and Rivington Street,10002,Chin,
"MULTILINESTRING ((-73.82189042299996 40.599015793000035, -73.82085240799995 40.59890785600004))",Int. No. 565,10/20/2003,2003,2003/062,Street,Queens,Henry Weichaitis Road,West 20th Road,Male,"Henry Weichaitis was born in Maspeth, Queens on September 28, 1919.  He was a veteran of World War II, when he served as a United States Merchant Marine.  After the war, he moved to Broad Channel where he met and married Helen Hutchinson.  He worked as a",In its entirety,11693,"Addabbo, Jr.",
"MULTILINESTRING ((-73.95241506699995 40.79908833600007, -73.95292298199996 40.807933665000064, -73.95304841199999 40.810117854000055, -73.95211441599997 40.81138782700003, -73.95167550899998 40.81184551400003, -73.95027100699997 40.81324070200003, -73.94912418599995 40.81479998100008, -73.94823392199999 40.816663951000066, -73.94705911599993 40.819123594000075, -73.94614528299996 40.821168355000054))",Int. No. 23,07/29/2002,2002,2002/019,Street,Manhattan,Harriet Tubman Avenue,St. Nicholas Avenue,Female,"The following biography was provided by “Spectrum: Home and School Magazine.” 

Harriet Tubman was born Harriet Ross in Dorchester County, Maryland in 1820. Her parents were from the Ashanti tribe of West Africa, and they worked as slaves on the Brod",from West 111th Street to West 141st Street,10030,"Perkins, Lopez,   Comrie, Davis, Foster, Koppell, Stewart, Weprin, Brewer, and Barron also Council Members Baez, Gioia, Nelson, Vann, and Clarke.",
"MULTILINESTRING ((-73.93528231299996 40.62114021800005, -73.93504627799996 40.62092034300008))",Int. No. 988,07/29/2018,2018,2018/139,Street,Brooklyn,Firefighter William J. Gormley Way,Flatlands Avenue,Male,William J. Gormley was a veteran of the United States Marine Corps. and later joined the FDNY in 1988.  He retired from the East Flatbush Ladder Company 174 in 2006.  He died as a result of illness from being a first responder on 9/11.,Between Flatbush Avenue and Avenue M,11234,Williams,
"MULTILINESTRING ((-73.87525295699999 40.72745927700004, -73.87558078299998 40.72722665300006))",Int. No. 480-A,08/14/2022,2022,2022/081,Street,Bronx,Louis Iorio Way,60th Drive,Male,"Louis Iorio was a well-known fixture at Resurrection Ascension, volunteering as a Parish Athlete Representative. He ran a basketball clinic for young kids every Saturday morning, in addition to coaching teams for the parish and organizing basketball tour",Between 84th Street and the dead end of the block,11379,Holden,
"MULTILINESTRING ((-73.82110359799998 40.84625901100003, -73.82035526199996 40.846228576000044))",Int. No. 428-A,12/20/2010,2010,2011/003,Street,Bronx,Alfred J. Ranieri Way,Ampere Avenue,Male,"Alfred J. Ranieri was a prominent attorney and civic leader in the East Bronx as well as a United States Navy veteran of World War II.  A fifty-year resident of the Spencer Estate Country Club community, he served as President of the Homeowners Associati",Between Stadium Avenue and Ohm Avenue,10465,Vacca,
"MULTILINESTRING ((-73.93416889299993 40.60792298300004, -73.93358524399997 40.60830743200006))",Int. No. 613,05/09/2005,2005,2005/043,Street,Brooklyn,"James Warren Nicolaidis Way, Borough of Brooklyn",Avenue S,Male,James Warren Nicoladis was a life long resident of Marine Park and true community leader.  He devoted much of his life in Marine Park helping others become better at what they would later do in life.  He spent 26 years coaching football for the Brooklyn,Between East 32nd and East 33rd Streets,11234,Fidler,
"MULTILINESTRING ((-73.85709843899997 40.89787306900007, -73.85817400499997 40.896279496000034))",Int. No. 1188-A,12/17/2013,2013,2013/131,Street,Bronx,Mary V. Lauro Way,Matilda Avenue,Female,"Mary V. Lauro graduated from Hunter College in 1947 and later went to work for Adhesive Products Corporation where she co-invented Monzini, a synthetic casting compound used by many museums in dinosaur skeletons and other exhibits and also sculptors and",Between East 236th Street and East 237th Street,10466,Koppell,
"MULTILINESTRING ((-73.84404876899998 40.72234418200003, -73.84195068599996 40.72296982700004))",Int. No. 1102-A,07/23/2023,2023,2023/110,Street,Queens,Dr. Karl Neumann Way,70th Road,Male,"Dr. Karl Neumann was a pediatrician in Forest Hills for over 50 years. Throughout career in pediatrics and travel medicine, he provided his patients, their parents, students, and readers of his blog with the most thorough advice and information available",Between 108th Street and 110th Street,11375,Schulman,
"MULTILINESTRING ((-73.94255882599998 40.79733493100008, -73.94215113099995 40.79789128600004))",Int. No. 2477,01/15/2022,2022,2022/054,Street,Manhattan,"Hector ""Macho"" Camacho Way",Lexington Avenue,Male,"Hector Camacho, was a famous boxer. He moved to Spanish Harlem at the age of three and started to gain a passion for boxing at the age of eleven and astonishingly won three New York City Golden Gloves titles. He was later mentored by his language teacher",Between 114th Street and 115th Street,10029,Ayala,
"MULTILINESTRING ((-73.82802379799995 40.692108079000036, -73.82689715099997 40.68978743300005))",Int. No. 897,03/19/2023,2023,2023/044,Street,Queens,Guru Nanak Way,118th Street,Male,"Guru Nanak is the founder of Sikhism. The fundamental beliefs of Sikhism, articulated in the sacred scripture Guru Granth Sahib, include faith and meditation on the name of the one creator; unity of all humankind; engaging in selfless service, striving f",Between 95th Avenue and 101st Avenue,11419,Adams,
"MULTILINESTRING ((-73.98321974699996 40.695806520000076, -73.98326266299995 40.694869022000034))",Int. No. 761-A,03/07/2012,2012,2012/014,Street,Brooklyn,Alain Schaberger Way,Gold Street,Male,"NYPD Officer Alain Schaberger served in the United States Navy from 1991 until 1995.  He was a 10-year veteran in the NYPD when he was killed in the line of duty on March 13, 2011 when he was pushed over a railing while responding to a domestic violence",Between Tillary Street and Tech Place,11201,Levin,
"MULTILINESTRING ((-73.96389518599995 40.716308378000065, -73.96443699199995 40.71580013200003))",Int. No. 1045-A,07/01/2013,2013,2013/050,Street,Brooklyn,BARC Avenue,Wythe Avenue,Group,This co-naming will commemorate 25 years of service to Williamsburg animals and their owners.  The Brooklyn Animal Resource Coalition (BARC) is a no kill animal shelter whose mission is to provide a safe haven for homeless animals and help them find a pe,Between Grand Street and N. 1st Street,11249,Levin,
"MULTILINESTRING ((-73.97106640699997 40.755136984000046, -73.96915130999997 40.75433239000006))",Int. No. 471-A,12/21/2004,2004,2004/063,Street,Manhattan,Katharine Hepburn Place,East 49th Street,Female,"""I'm a personality as well as an actress,"" Katharine Hepburn once declared. ""Show me an actress who isn't a personality, and you'll show me a woman who isn't a star."" Hepburn's bold, distinctive personality was apparent almost from birth. She inherited f",between Second Avenue and Third Avenue,10017,Speaker Miller and Council Member Moskowitz,
"MULTILINESTRING ((-73.94035797799995 40.83056726400008, -73.94037407099995 40.83147037800006, -73.94035797799995 40.83159011600003, -73.94030433399996 40.83173217800004, -73.94016944899994 40.83196997600004, -73.93998246899997 40.83219894900003, -73.93982421799996 40.83242015700006, -73.93973045899997 40.83258545000007, -73.93963378199999 40.83278951200003, -73.93949571699994 40.832999286000074, -73.93936556099999 40.83310812900004, -73.93914379099994 40.83329358300006, -73.93856626199994 40.833792035000045, -73.93828371999996 40.83401280800007, -73.93814844099995 40.83412956300003, -73.93810127999996 40.834187315000065, -73.93806148699997 40.834257465000064, -73.93799523999996 40.834350064000034, -73.93791730799995 40.83451163800004, -73.93779646199994 40.83476670600004, -73.93755238699998 40.83534246700003, -73.93706422499997 40.83640989000003, -73.93668675199996 40.837192463000065, -73.93643099199994 40.837794503000055, -73.93627478699995 40.83801283300005, -73.93610172999996 40.838224737000075, -73.93593952499998 40.83840231600004, -73.93568774499994 40.83859903800004, -73.93549781499996 40.83871717000005, -73.93538843099998 40.83880263400005, -73.93524449999995 40.838960205000035, -73.93516676299998 40.839068858000076, -73.93511366999996 40.83914306600008, -73.93505118499996 40.83927260300004, -73.93499892399996 40.83947001100006, -73.93498636799995 40.83956342100004, -73.93498748799993 40.83962626700003, -73.93498835499997 40.839674874000025, -73.93498933499995 40.839729875000046, -73.93501501799994 40.839857589000076, -73.93504276799996 40.83993731700008, -73.93507036199998 40.840016597000044, -73.93512230599998 40.84012341400006, -73.93515926099997 40.84019940700006, -73.93519126499996 40.84026521900006, -73.93532545899996 40.84055580000006, -73.93546031799997 40.84084781700005, -73.93556651399996 40.84107776800005, -73.93566382799997 40.84130180900007))",Int. No. 877-A,12/29/2008,2008,2008/064,Street,Manhattan,Paul Robeson Boulevard,Edgecombe Avenue,Male,Mr. Robeson was a long time resident of Harlem.  He was a renowned actor and singer of the 1920’s and 1930’s.  Mr. Robeson was an outspoken defender of civil liberties and civil rights.  He was also a star athlete and accomplished student at Rutgers,Between West 155th Street and West 171st Street,10031,Jackson,
"MULTILINESTRING ((-73.75058513799996 40.77186491200007, -73.74843668799997 40.772340230000054, -73.74716205199996 40.77262222600007, -73.74696967899996 40.772664785000075, -73.74669325199994 40.77270991900008, -73.74648403999998 40.77272413800006, -73.74569547099998 40.77274648100007))",Int. No. 565,10/20/2003,2003,2003/062,Street,Queens,Hillside Avenue,38th Road,Misc,"Sometime in the 1920’s streets throughout the area of Douglaston, Queens and Little Neck, Queens were given numerical designations in order to come “in line” with the New York City street grid.  In 1970-1971, a movement to re-instate the named stre",Between Douglaston Parkway and Douglas Road,11363,Avella,
"MULTILINESTRING ((-73.94967428099994 40.678621220000025, -73.94952944199997 40.68032172900007))",Int. No. 1188-A,12/17/2013,2013,2013/131,Street,Brooklyn,Birdel’s Records Way,Nostrand Avenue,Group,"This co-naming will commemorate Birdel’s Records, a record store that was open for more than a half century until recently.  Birdel’s Records opened in 1944 in Bedford-Stuyvesant.  Through the years, the store drew such R&B legends as James Brown, Al",Between Atlantic Avenue and Fulton Street,11216,Vann,
"MULTILINESTRING ((-73.88065317499996 40.84160467400005, -73.88016769499995 40.84213630800008))",Int. No. 289-A,05/23/2006,2006,2006/013,Street,Bronx,Julio Torres Place,Bryant Avenue,Male,"Julio Torres was born and raised in Ponce, Puerto Rico. He joined the United States Army and proudly served during the Korean War. When he moved his family to the Bronx, he began working with the United States Postal Service. His desire for community inv",Between East 179th Street and Boston Road,10460,Rivera,
"MULTILINESTRING ((-73.87530502899995 40.71175453400008, -73.87356159299998 40.711833600000034))",Int. No. 620,02/05/2015,2015,2015/015,Street,Queens,Steven Frosch Way,67th Drive,Male,Steven Frosch left the NYPD in 1999 to work for the Sanitation Department.  He was killed on the job while performing maintenance on a mechanical broom at the Maspeth garage he worked at.,Between 78th Street and 79th Street,11379,Crowley,
"MULTILINESTRING ((-73.79485722299995 40.77194680300005, -73.79502888499997 40.770695524000075))",Int. No. 613,05/09/2005,2005,2005/043,Street,Queens,"Brother John W. Donoghue, CSC Way",170th Street,Male,"Brother John W. Donoghue was the founding principal of Holy Cross High School, the first Catholic boys’ high school, in Flushing, New York.  Brother Donoghue was a native of Massachusetts and spent a distinguished career as a dedicated educator and ins",Between 29th Avenue and Francis Lewis Boulevard,11358,Avella,
"MULTILINESTRING ((-73.92929055199994 40.74239894100003, -73.92894186499996 40.74411949800003))",Int. No. 968,07/20/2024,2024,2024/081,Street,Queens,Aviation High School Boulevard,36th Street,Group,"This co-naming will commemorate Aviation High School, which originally began in Manhattan in 1936 and moved to Long Island City in 1957. The school houses an entire city block with a hangar where students work on aircrafts.",Between 47th Avenue and Queens Boulevard,11104,Won,
"MULTILINESTRING ((-73.83212903299994 40.84703785200003, -73.83142450599996 40.847307029000035))",Int. No. 968,07/20/2024,2024,2024/081,Street,Bronx,Carmine Zeppieri Ave,Buhre Avenue,Male,"Carmine Zeppieri owned Zeppieri and Sons Italian Bakery, which offers a wide array of baked goods. The bakery was established in 1968, and has been serving the Bronx community since. In the 1980’s, the bakery expanded and offered Italian foods on top o",Between Crosby Avenue and Hobart Avenue,10461,Marmorato,
"MULTILINESTRING ((-74.01315784499997 40.71731779900006, -74.01496028999998 40.71812446700005))",Int. No. 613,05/09/2005,2005,2005/043,Street,Manhattan,Frederick Douglass Landing,Chambers Street,Male,"Born a slave in Maryland, Frederick Douglass eventually escaped to freedom. His lifelong struggles for liberty and the rights of others have become a stirring episode in the darkest chapter of American history.  Frederick Douglass first came to New York",Between West Street and the Hudson River,10282,Gerson,twice
"MULTILINESTRING ((-73.94621589899998 40.68074127300008, -73.94355514699998 40.681046382000034, -73.94070266499995 40.68137347500004, -73.93788704699995 40.68169633900004, -73.93496336799996 40.68203159300003))",Int. No. 877-A,12/29/2008,2008,2008/064,Street,Brooklyn,Rev. Dr. William A. Jones Way,MacDonough Street,Male,Rev. Dr. William A. Jones was one of the first African-American students to graduate with honors and receive a Bachelor’s Degree from the University of Kentucky.  He went on to receive his Master’s from Crozer Theological Seminary.  He went on to pre,Between Marcy Avenue and Lewis Avenue,11233,Vann,
"MULTILINESTRING ((-74.03809985099997 40.62062032400007, -74.03729816899994 40.622619996000026, -74.03683494999996 40.62377539500005, -74.03648201499993 40.62465570300003, -74.03619250199995 40.625338912000075, -74.03570236299998 40.62656140900003, -74.03526053899998 40.62760401700007))",Int. No. 457,12/05/2006,2006,2006/050,Street,Brooklyn,Joseph John Hasson III 9/11 Memorial Way,,Male,"Joseph John Hasson III attended PS 127 before entering Poly in 1979. At Poly, he took advantage of many academic opportunities and honed his athletic talents and competitive spirit. He played baseball and wrestled for Poly, but was most thrilled to be on",From Shore Road and 92nd Street to 82nd Street and Colonial Road,11209,Gentile,
"MULTILINESTRING ((-73.80323880499998 40.59241448500006, -73.79988116699997 40.59261630900005))",Int. No. 565,10/20/2003,2003,2003/062,Street,Queens,Mario P. Russo Boulevard,Amstel Boulevard,Male,"Mario Russo was born on May 30, 1915 in Jersey City, N.J. to Anna and Rocco Russo. He was the youngest of six children, and was a twin. His parents had a summer home in Arverne and as a young man Mario came to Rockaway during the summers. He worked for M",between Beach 71st Street and Beach 75th Street,11692,"Sanders, Jr.",
"MULTILINESTRING ((-73.90203485899997 40.83709930500004, -73.90285442299995 40.83601926700004))",Int. No. 620,02/05/2015,2015,2015/015,Street,Bronx,Bishop Robert Green Way,3rd Avenue,Male,"Robert Green founded the Holy Tabernacle Church in 1965.  The church began in a small storefront.  Over the years, the church expanded with a membership of 150 people.  He was ordained a Bishop by Bishop Bassnight of the Redeemed Church in 1973.  The Hol",Between 171st Street and St. Paul’s Place,10456,Gibson,
